Allele,Marker,Frequency,Population,Sample_Size
2.2000000000000002,...25,0.11403508771929824,"1036 revised AfAm,",=342
3.2,...19,0.11842105263157894,"1036 revised AfAm,",=342
3.2,...25,0.008771929824561403,"1036 revised AfAm,",=342
4,...19,0.06871345029239766,"1036 revised AfAm,",=342
4.2,...19,0.0014619883040935672,"1036 revised AfAm,",=342
5,...6,0.0014619883040935672,"1036 revised AfAm,",=342
5,...19,0.3391812865497076,"1036 revised AfAm,",=342
5,...24,0.024853801169590642,"1036 revised AfAm,",=342
5,...25,0.043859649122807015,"1036 revised AfAm,",=342
5,...26,0.09502923976608187,"1036 revised AfAm,",=342
5,...28,0.0043859649122807015,"1036 revised AfAm,",=342
6,...17,0.0014619883040935672,"1036 revised AfAm,",=342
6,...19,0.12719298245614036,"1036 revised AfAm,",=342
6,...20,0.36257309941520466,"1036 revised AfAm,",=342
6,...21,0.0014619883040935672,"1036 revised AfAm,",=342
6,...25,0.01023391812865497,"1036 revised AfAm,",=342
6,...26,0.0014619883040935672,"1036 revised AfAm,",=342
6,...28,0.13157894736842105,"1036 revised AfAm,",=342
6,...29,0.08944281524926687,"1036 revised AfAm,",=342
6.3,...20,0.0014619883040935672,"1036 revised AfAm,",=342
7,...2,0.05555555555555555,"1036 revised AfAm,",=342
7,...15,0.0029239766081871343,"1036 revised AfAm,",=342
7,...17,0.011695906432748537,"1036 revised AfAm,",=342
7,...19,0.19736842105263158,"1036 revised AfAm,",=342
7,...20,0.16812865497076024,"1036 revised AfAm,",=342
7,...21,0.0029239766081871343,"1036 revised AfAm,",=342
7,...23,0.01608187134502924,"1036 revised AfAm,",=342
7,...24,0.01608187134502924,"1036 revised AfAm,",=342
7,...25,0.043859649122807015,"1036 revised AfAm,",=342
7,...26,0.10380116959064327,"1036 revised AfAm,",=342
7,...27,0.0014619883040935672,"1036 revised AfAm,",=342
7,...28,0.40789473684210525,"1036 revised AfAm,",=342
7,...29,0.017595307917888565,"1036 revised AfAm,",=342
8,...2,0.05555555555555555,"1036 revised AfAm,",=342
8,...3,0.0029239766081871343,"1036 revised AfAm,",=342
8,...5,0.027777777777777776,"1036 revised AfAm,",=342
8,...6,0.03216374269005848,"1036 revised AfAm,",=342
8,...11,0.007309941520467836,"1036 revised AfAm,",=342
8,...15,0.04678362573099415,"1036 revised AfAm,",=342
8,...17,0.22807017543859648,"1036 revised AfAm,",=342
8,...18,0.007309941520467836,"1036 revised AfAm,",=342
8,...19,0.05701754385964912,"1036 revised AfAm,",=342
8,...20,0.10818713450292397,"1036 revised AfAm,",=342
8,...21,0.09941520467836257,"1036 revised AfAm,",=342
8,...23,0.0043859649122807015,"1036 revised AfAm,",=342
8,...24,0.05116959064327485,"1036 revised AfAm,",=342
8,...25,0.10818713450292397,"1036 revised AfAm,",=342
8,...26,0.16666666666666666,"1036 revised AfAm,",=342
8,...28,0.195906432748538,"1036 revised AfAm,",=342
8,...29,0.3680351906158358,"1036 revised AfAm,",=342
9,...2,0.039473684210526314,"1036 revised AfAm,",=342
9,...3,0.0029239766081871343,"1036 revised AfAm,",=342
9,...5,0.033625730994152045,"1036 revised AfAm,",=342
9,...6,0.1827485380116959,"1036 revised AfAm,",=342
9,...7,0.0029239766081871343,"1036 revised AfAm,",=342
9,...13,0.0029239766081871343,"1036 revised AfAm,",=342
9,...15,0.03216374269005848,"1036 revised AfAm,",=342
9,...16,0.0014619883040935672,"1036 revised AfAm,",=342
9,...17,0.1154970760233918,"1036 revised AfAm,",=342
9,...18,0.0043859649122807015,"1036 revised AfAm,",=342
9,...19,0.008771929824561403,"1036 revised AfAm,",=342
9,...20,0.22807017543859648,"1036 revised AfAm,",=342
9,...21,0.027777777777777776,"1036 revised AfAm,",=342
9,...23,0.1301169590643275,"1036 revised AfAm,",=342
9,...24,0.17251461988304093,"1036 revised AfAm,",=342
9,...25,0.16812865497076024,"1036 revised AfAm,",=342
