Allele,Marker,Frequency,Population,Sample_Size
3.2,...19,0.30927835051546393,"1036 revised Asian,",=97
4,...19,0.12371134020618557,"1036 revised Asian,",=97
5,...19,0.061855670103092786,"1036 revised Asian,",=97
5,...24,0.02577319587628866,"1036 revised Asian,",=97
5,...26,0.07216494845360824,"1036 revised Asian,",=97
6,...19,0.4896907216494845,"1036 revised Asian,",=97
6,...20,0.015463917525773196,"1036 revised Asian,",=97
6,...25,0.010309278350515464,"1036 revised Asian,",=97
6,...28,0.17010309278350516,"1036 revised Asian,",=97
7,...2,0.020618556701030927,"1036 revised Asian,",=97
7,...15,0.015463917525773196,"1036 revised Asian,",=97
7,...17,0.005154639175257732,"1036 revised Asian,",=97
7,...19,0.015463917525773196,"1036 revised Asian,",=97
7,...20,0.005154639175257732,"1036 revised Asian,",=97
7,...23,0.005154639175257732,"1036 revised Asian,",=97
7,...24,0.005154639175257732,"1036 revised Asian,",=97
7,...28,0.26804123711340205,"1036 revised Asian,",=97
8,...5,0.21649484536082475,"1036 revised Asian,",=97
8,...13,0.005154639175257732,"1036 revised Asian,",=97
8,...15,0.005154639175257732,"1036 revised Asian,",=97
8,...17,0.13402061855670103,"1036 revised Asian,",=97
8,...20,0.04639175257731959,"1036 revised Asian,",=97
8,...24,0.06701030927835051,"1036 revised Asian,",=97
8,...25,0.005154639175257732,"1036 revised Asian,",=97
8,...26,0.005154639175257732,"1036 revised Asian,",=97
8,...28,0.07216494845360824,"1036 revised Asian,",=97
8,...29,0.5463917525773195,"1036 revised Asian,",=97
9,...2,0.06701030927835051,"1036 revised Asian,",=97
9,...5,0.14432989690721648,"1036 revised Asian,",=97
9,...6,0.3556701030927835,"1036 revised Asian,",=97
9,...15,0.0979381443298969,"1036 revised Asian,",=97
9,...17,0.04639175257731959,"1036 revised Asian,",=97
9,...20,0.1958762886597938,"1036 revised Asian,",=97
9,...21,0.015463917525773196,"1036 revised Asian,",=97
9,...23,0.005154639175257732,"1036 revised Asian,",=97
9,...24,0.3556701030927835,"1036 revised Asian,",=97
9,...25,0.31443298969072164,"1036 revised Asian,",=97
9,...26,0.02577319587628866,"1036 revised Asian,",=97
9,...28,0.44329896907216493,"1036 revised Asian,",=97
9,...29,0.08247422680412371,"1036 revised Asian,",=97
9.1,...13,0.005154639175257732,"1036 revised Asian,",=97
9.3000000000000007,...28,0.041237113402061855,"1036 revised Asian,",=97
10,...2,0.20103092783505155,"1036 revised Asian,",=97
10,...3,0.005154639175257732,"1036 revised Asian,",=97
10,...5,0.10309278350515463,"1036 revised Asian,",=97
10,...6,0.16494845360824742,"1036 revised Asian,",=97
10,...13,0.26804123711340205,"1036 revised Asian,",=97
10,...15,0.2268041237113402,"1036 revised Asian,",=97
10,...16,0.030927835051546393,"1036 revised Asian,",=97
10,...17,0.26288659793814434,"1036 revised Asian,",=97
10,...18,0.12371134020618557,"1036 revised Asian,",=97
10,...20,0.7319587628865979,"1036 revised Asian,",=97
10,...21,0.09278350515463918,"1036 revised Asian,",=97
10,...23,0.6443298969072165,"1036 revised Asian,",=97
10,...24,0.06701030927835051,"1036 revised Asian,",=97
10,...25,0.18556701030927836,"1036 revised Asian,",=97
10,...26,0.061855670103092786,"1036 revised Asian,",=97
10,...28,0.005154639175257732,"1036 revised Asian,",=97
10,...29,0.030927835051546393,"1036 revised Asian,",=97
10.3,...21,0.005154639175257732,"1036 revised Asian,",=97
11,...2,0.21649484536082475,"1036 revised Asian,",=97
11,...5,0.26804123711340205,"1036 revised Asian,",=97
11,...6,0.19072164948453607,"1036 revised Asian,",=97
11,...9,0.030927835051546393,"1036 revised Asian,",=97
11,...11,0.20103092783505155,"1036 revised Asian,",=97
11,...13,0.35051546391752575,"1036 revised Asian,",=97
11,...15,0.27319587628865977,"1036 revised Asian,",=97
11,...16,0.14948453608247422,"1036 revised Asian,",=97
11,...17,0.35051546391752575,"1036 revised Asian,",=97
11,...18,0.11855670103092783,"1036 revised Asian,",=97
11,...20,0.005154639175257732,"1036 revised Asian,",=97
11,...21,0.36082474226804123,"1036 revised Asian,",=97
11,...23,0.11855670103092783,"1036 revised Asian,",=97
11,...24,0.31443298969072164,"1036 revised Asian,",=97
11,...25,0.18041237113402062,"1036 revised Asian,",=97
11,...26,0.15979381443298968,"1036 revised Asian,",=97
11,...29,0.29381443298969073,"1036 revised Asian,",=97
11.3,...13,0.030927835051546393,"1036 revised Asian,",=97
12,...2,0.3865979381443299,"1036 revised Asian,",=97
12,...3,0.08762886597938144,"1036 revised Asian,",=97
12,...5,0.211340206185567,"1036 revised Asian,",=97
12,...6,0.17525773195876287,"1036 revised Asian,",=97
12,...7,0.03608247422680412,"1036 revised Asian,",=97
12,...8,0.03608247422680412,"1036 revised Asian,",=97
12,...9,0.04639175257731959,"1036 revised Asian,",=97
12,...11,0.005154639175257732,"1036 revised Asian,",=97
12,...13,0.21649484536082475,"1036 revised Asian,",=97
12,...15,0.20618556701030927,"1036 revised Asian,",=97
12,...16,0.12371134020618557,"1036 revised Asian,",=97
12,...17,0.17525773195876287,"1036 revised Asian,",=97
12,...18,0.11855670103092783,"1036 revised Asian,",=97
12,...21,0.30927835051546393,"1036 revised Asian,",=97
