Allele,Marker,Frequency,Population,Sample_Size
2.2000000000000002,...25,0.004155124653739612,"1036 revised Cauc,",=361
3.2,...19,0.06371191135734072,"1036 revised Cauc,",=361
4,...19,0.02631578947368421,"1036 revised Cauc,",=361
5,...19,0.19390581717451524,"1036 revised Cauc,",=361
5,...21,0.0013850415512465374,"1036 revised Cauc,",=361
5,...24,0.008310249307479225,"1036 revised Cauc,",=361
5,...26,0.07617728531855955,"1036 revised Cauc,",=361
5,...28,0.0013850415512465374,"1036 revised Cauc,",=361
5,...29,0.0013850415512465374,"1036 revised Cauc,",=361
6,...19,0.3490304709141274,"1036 revised Cauc,",=361
6,...20,0.09556786703601108,"1036 revised Cauc,",=361
6,...25,0.004155124653739612,"1036 revised Cauc,",=361
6,...28,0.23545706371191136,"1036 revised Cauc,",=361
6,...29,0.0013850415512465374,"1036 revised Cauc,",=361
7,...15,0.002770083102493075,"1036 revised Cauc,",=361
7,...17,0.027700831024930747,"1036 revised Cauc,",=361
7,...19,0.3157894736842105,"1036 revised Cauc,",=361
7,...20,0.01662049861495845,"1036 revised Cauc,",=361
7,...23,0.0013850415512465374,"1036 revised Cauc,",=361
7,...24,0.002770083102493075,"1036 revised Cauc,",=361
7,...25,0.004155124653739612,"1036 revised Cauc,",=361
7,...26,0.16897506925207756,"1036 revised Cauc,",=361
7,...28,0.19390581717451524,"1036 revised Cauc,",=361
8,...2,0.00554016620498615,"1036 revised Cauc,",=361
8,...5,0.12049861495844875,"1036 revised Cauc,",=361
8,...6,0.018005540166204988,"1036 revised Cauc,",=361
8,...15,0.00554016620498615,"1036 revised Cauc,",=361
8,...16,0.0013850415512465374,"1036 revised Cauc,",=361
8,...17,0.1440443213296399,"1036 revised Cauc,",=361
8,...18,0.013850415512465374,"1036 revised Cauc,",=361
8,...19,0.004155124653739612,"1036 revised Cauc,",=361
8,...20,0.24653739612188366,"1036 revised Cauc,",=361
8,...21,0.024930747922437674,"1036 revised Cauc,",=361
8,...24,0.00554016620498615,"1036 revised Cauc,",=361
8,...25,0.02077562326869806,"1036 revised Cauc,",=361
8,...26,0.013850415512465374,"1036 revised Cauc,",=361
8,...28,0.09556786703601108,"1036 revised Cauc,",=361
8,...29,0.5249307479224377,"1036 revised Cauc,",=361
8.1,...17,0.0013850415512465374,"1036 revised Cauc,",=361
9,...2,0.013850415512465374,"1036 revised Cauc,",=361
9,...5,0.07756232686980609,"1036 revised Cauc,",=361
9,...6,0.10664819944598337,"1036 revised Cauc,",=361
9,...13,0.0013850415512465374,"1036 revised Cauc,",=361
9,...15,0.04155124653739612,"1036 revised Cauc,",=361
9,...17,0.16759002770083103,"1036 revised Cauc,",=361
9,...18,0.00554016620498615,"1036 revised Cauc,",=361
9,...20,0.24653739612188366,"1036 revised Cauc,",=361
9,...23,0.038781163434903045,"1036 revised Cauc,",=361
9,...24,0.14958448753462603,"1036 revised Cauc,",=361
9,...25,0.22160664819944598,"1036 revised Cauc,",=361
9,...26,0.012465373961218837,"1036 revised Cauc,",=361
9,...28,0.11911357340720222,"1036 revised Cauc,",=361
9,...29,0.12742382271468145,"1036 revised Cauc,",=361
9.1,...13,0.0013850415512465374,"1036 revised Cauc,",=361
9.3000000000000007,...28,0.3448753462603878,"1036 revised Cauc,",=361
10,...2,0.22022160664819945,"1036 revised Cauc,",=361
10,...5,0.04709141274238227,"1036 revised Cauc,",=361
10,...6,0.05678670360110803,"1036 revised Cauc,",=361
10,...7,0.008310249307479225,"1036 revised Cauc,",=361
10,...8,0.0013850415512465374,"1036 revised Cauc,",=361
10,...9,0.002770083102493075,"1036 revised Cauc,",=361
10,...13,0.21052631578947367,"1036 revised Cauc,",=361
10,...15,0.055401662049861494,"1036 revised Cauc,",=361
10,...16,0.01662049861495845,"1036 revised Cauc,",=361
10,...17,0.2562326869806094,"1036 revised Cauc,",=361
10,...18,0.10249307479224377,"1036 revised Cauc,",=361
