Allele,Marker,Frequency,Population,Sample_Size
2.2000000000000002,...25,0.01702127659574468,"1036 revised Hispanic,",=236
3.2,...19,0.21398305084745764,"1036 revised Hispanic,",=236
3.2,...25,0.002127659574468085,"1036 revised Hispanic,",=236
4,...19,0.0826271186440678,"1036 revised Hispanic,",=236
5,...19,0.19491525423728814,"1036 revised Hispanic,",=236
5,...24,0.01694915254237288,"1036 revised Hispanic,",=236
5,...25,0.006382978723404255,"1036 revised Hispanic,",=236
5,...26,0.036016949152542374,"1036 revised Hispanic,",=236
6,...19,0.1673728813559322,"1036 revised Hispanic,",=236
6,...20,0.12076271186440678,"1036 revised Hispanic,",=236
6,...25,0.002127659574468085,"1036 revised Hispanic,",=236
6,...28,0.23940677966101695,"1036 revised Hispanic,",=236
6,...29,0.00847457627118644,"1036 revised Hispanic,",=236
6.3,...27,0.00211864406779661,"1036 revised Hispanic,",=236
7,...2,0.012711864406779662,"1036 revised Hispanic,",=236
7,...15,0.03389830508474576,"1036 revised Hispanic,",=236
7,...17,0.01059322033898305,"1036 revised Hispanic,",=236
7,...19,0.3072033898305085,"1036 revised Hispanic,",=236
7,...20,0.0211864406779661,"1036 revised Hispanic,",=236
7,...21,0.00211864406779661,"1036 revised Hispanic,",=236
7,...23,0.00423728813559322,"1036 revised Hispanic,",=236
7,...24,0.006355932203389831,"1036 revised Hispanic,",=236
7,...25,0.002127659574468085,"1036 revised Hispanic,",=236
7,...26,0.11652542372881355,"1036 revised Hispanic,",=236
7,...28,0.2966101694915254,"1036 revised Hispanic,",=236
7,...29,0.006355932203389831,"1036 revised Hispanic,",=236
8,...2,0.00423728813559322,"1036 revised Hispanic,",=236
8,...5,0.11016949152542373,"1036 revised Hispanic,",=236
8,...6,0.019067796610169493,"1036 revised Hispanic,",=236
8,...15,0.00847457627118644,"1036 revised Hispanic,",=236
8,...17,0.12076271186440678,"1036 revised Hispanic,",=236
8,...18,0.014830508474576272,"1036 revised Hispanic,",=236
8,...19,0.006355932203389831,"1036 revised Hispanic,",=236
8,...20,0.1864406779661017,"1036 revised Hispanic,",=236
8,...21,0.01694915254237288,"1036 revised Hispanic,",=236
8,...24,0.03389830508474576,"1036 revised Hispanic,",=236
8,...25,0.019148936170212766,"1036 revised Hispanic,",=236
8,...26,0.025423728813559324,"1036 revised Hispanic,",=236
8,...28,0.09110169491525423,"1036 revised Hispanic,",=236
8,...29,0.4851694915254237,"1036 revised Hispanic,",=236
9,...2,0.023305084745762712,"1036 revised Hispanic,",=236
