Allele,Marker,Frequency,Population,Sample_Size
2.2000000000000002,...25,0.042995169082125605,"1036 revised all,",=1036
3.2,...19,0.138996138996139,"1036 revised all,",=1036
3.2,...25,0.003381642512077295,"1036 revised all,",=1036
4,...19,0.06225868725868726,"1036 revised all,",=1036
4.2,...19,4.8262548262548264e-4,"1036 revised all,",=1036
5,...6,4.8262548262548264e-4,"1036 revised all,",=1036
5,...19,0.22972972972972974,"1036 revised all,",=1036
5,...21,4.8262548262548264e-4,"1036 revised all,",=1036
5,...24,0.017374517374517374,"1036 revised all,",=1036
5,...25,0.015942028985507246,"1036 revised all,",=1036
5,...26,0.07287644787644787,"1036 revised all,",=1036
5,...28,0.0019305019305019305,"1036 revised all,",=1036
5,...29,4.830917874396135e-4,"1036 revised all,",=1036
6,...17,4.8262548262548264e-4,"1036 revised all,",=1036
6,...19,0.2475868725868726,"1036 revised all,",=1036
6,...20,0.18194980694980695,"1036 revised all,",=1036
6,...21,4.8262548262548264e-4,"1036 revised all,",=1036
6,...25,0.006280193236714976,"1036 revised all,",=1036
6,...26,4.8262548262548264e-4,"1036 revised all,",=1036
6,...28,0.19594594594594594,"1036 revised all,",=1036
6,...29,0.03188405797101449,"1036 revised all,",=1036
6.3,...20,4.8262548262548264e-4,"1036 revised all,",=1036
6.3,...27,4.8262548262548264e-4,"1036 revised all,",=1036
7,...2,0.023166023166023165,"1036 revised all,",=1036
7,...15,0.0111003861003861,"1036 revised all,",=1036
7,...17,0.016409266409266408,"1036 revised all,",=1036
7,...19,0.24662162162162163,"1036 revised all,",=1036
7,...20,0.06660231660231661,"1036 revised all,",=1036
7,...21,0.0014478764478764478,"1036 revised all,",=1036
7,...23,0.00723938223938224,"1036 revised all,",=1036
7,...24,0.008204633204633204,"1036 revised all,",=1036
7,...25,0.01642512077294686,"1036 revised all,",=1036
7,...26,0.11969111969111969,"1036 revised all,",=1036
7,...27,4.8262548262548264e-4,"1036 revised all,",=1036
7,...28,0.2948841698841699,"1036 revised all,",=1036
7,...29,0.007246376811594203,"1036 revised all,",=1036
8,...2,0.021235521235521235,"1036 revised all,",=1036
8,...3,9.652509652509653e-4,"1036 revised all,",=1036
8,...5,0.09652509652509653,"1036 revised all,",=1036
8,...6,0.021235521235521235,"1036 revised all,",=1036
8,...11,0.002413127413127413,"1036 revised all,",=1036
8,...13,4.8262548262548264e-4,"1036 revised all,",=1036
8,...15,0.019787644787644786,"1036 revised all,",=1036
