"RACE","chborn_num","Age_bin","YEAR","freq_mother","n_sib","freq_n_sib","color"
"Black/African American",0,"40-50",1960,2471,-1,0,"#b2d8d8"
"Black/African American",0,"40-50",1970,3971,-1,0,"#b2d8d8"
"Black/African American",0,"40-50",1980,1382,-1,0,"#b2d8d8"
"Black/African American",0,"40-50",1990,1645,-1,0,"#b2d8d8"
"Black/African American",0,"50-60",1960,2215,-1,0,"#b2d8d8"
"Black/African American",0,"50-60",1970,5209,-1,0,"#b2d8d8"
"Black/African American",0,"50-60",1980,2207,-1,0,"#b2d8d8"
"Black/African American",0,"50-60",1990,1215,-1,0,"#b2d8d8"
"Black/African American",0,"60-70",1960,1315,-1,0,"#b2d8d8"
"Black/African American",0,"60-70",1970,4515,-1,0,"#b2d8d8"
"Black/African American",0,"60-70",1980,2467,-1,0,"#b2d8d8"
"Black/African American",0,"60-70",1990,1610,-1,0,"#b2d8d8"
"Black/African American",0,"70-80",1960,581,-1,0,"#b2d8d8"
"Black/African American",0,"70-80",1970,2018,-1,0,"#b2d8d8"
"Black/African American",0,"70-80",1980,1690,-1,0,"#b2d8d8"
"Black/African American",0,"70-80",1990,1702,-1,0,"#b2d8d8"
"Black/African American",0,"80",1960,115,-1,0,"#b2d8d8"
"Black/African American",0,"80",1970,777,-1,0,"#b2d8d8"
"Black/African American",0,"80",1980,671,-1,0,"#b2d8d8"
"Black/African American",0,"80",1990,1021,-1,0,"#b2d8d8"
"Black/African American",1,"40-50",1960,1725,0,1725,"#9FE2BF"
"Black/African American",1,"40-50",1970,3412,0,3412,"#9FE2BF"
"Black/African American",1,"40-50",1980,1471,0,1471,"#9FE2BF"
"Black/African American",1,"40-50",1990,2082,0,2082,"#9FE2BF"
"Black/African American",1,"50-60",1960,1514,0,1514,"#9FE2BF"
"Black/African American",1,"50-60",1970,3691,0,3691,"#9FE2BF"
"Black/African American",1,"50-60",1980,1762,0,1762,"#9FE2BF"
"Black/African American",1,"50-60",1990,1342,0,1342,"#9FE2BF"
"Black/African American",1,"60-70",1960,940,0,940,"#9FE2BF"
"Black/African American",1,"60-70",1970,2810,0,2810,"#9FE2BF"
"Black/African American",1,"60-70",1980,1632,0,1632,"#9FE2BF"
"Black/African American",1,"60-70",1990,1404,0,1404,"#9FE2BF"
"Black/African American",1,"70-80",1960,399,0,399,"#9FE2BF"
"Black/African American",1,"70-80",1970,1304,0,1304,"#9FE2BF"
"Black/African American",1,"70-80",1980,1071,0,1071,"#9FE2BF"
"Black/African American",1,"70-80",1990,1179,0,1179,"#9FE2BF"
"Black/African American",1,"80",1960,120,0,120,"#9FE2BF"
"Black/African American",1,"80",1970,469,0,469,"#9FE2BF"
"Black/African American",1,"80",1980,447,0,447,"#9FE2BF"
"Black/African American",1,"80",1990,628,0,628,"#9FE2BF"
"Black/African American",2,"40-50",1960,1273,1,2546,"#93C572"
"Black/African American",2,"40-50",1970,3083,1,6166,"#93C572"
"Black/African American",2,"40-50",1980,1668,1,3336,"#93C572"
"Black/African American",2,"40-50",1990,3150,1,6300,"#93C572"
"Black/African American",2,"50-60",1960,1020,1,2040,"#93C572"
"Black/African American",2,"50-60",1970,2751,1,5502,"#93C572"
"Black/African American",2,"50-60",1980,1679,1,3358,"#93C572"
"Black/African American",2,"50-60",1990,1683,1,3366,"#93C572"
"Black/African American",2,"60-70",1960,681,1,1362,"#93C572"
"Black/African American",2,"60-70",1970,2060,1,4120,"#93C572"
"Black/African American",2,"60-70",1980,1309,1,2618,"#93C572"
"Black/African American",2,"60-70",1990,1370,1,2740,"#93C572"
"Black/African American",2,"70-80",1960,337,1,674,"#93C572"
"Black/African American",2,"70-80",1970,958,1,1916,"#93C572"
"Black/African American",2,"70-80",1980,749,1,1498,"#93C572"
"Black/African American",2,"70-80",1990,867,1,1734,"#93C572"
"Black/African American",2,"80",1960,100,1,200,"#93C572"
"Black/African American",2,"80",1970,423,1,846,"#93C572"
"Black/African American",2,"80",1980,276,1,552,"#93C572"
"Black/African American",2,"80",1990,415,1,830,"#93C572"
"Black/African American",3,"40-50",1960,910,2,2730,"#66C2A5"
"Black/African American",3,"40-50",1970,2627,2,7881,"#66C2A5"
"Black/African American",3,"40-50",1980,1675,2,5025,"#66C2A5"
"Black/African American",3,"40-50",1990,2466,2,7398,"#66C2A5"
"Black/African American",3,"50-60",1960,709,2,2127,"#66C2A5"
"Black/African American",3,"50-60",1970,2043,2,6129,"#66C2A5"
"Black/African American",3,"50-60",1980,1434,2,4302,"#66C2A5"
"Black/African American",3,"50-60",1990,1591,2,4773,"#66C2A5"
"Black/African American",3,"60-70",1960,513,2,1539,"#66C2A5"
"Black/African American",3,"60-70",1970,1421,2,4263,"#66C2A5"
"Black/African American",3,"60-70",1980,948,2,2844,"#66C2A5"
"Black/African American",3,"60-70",1990,1119,2,3357,"#66C2A5"
"Black/African American",3,"70-80",1960,253,2,759,"#66C2A5"
"Black/African American",3,"70-80",1970,761,2,2283,"#66C2A5"
"Black/African American",3,"70-80",1980,509,2,1527,"#66C2A5"
"Black/African American",3,"70-80",1990,669,2,2007,"#66C2A5"
"Black/African American",3,"80",1960,60,2,180,"#66C2A5"
"Black/African American",3,"80",1970,309,2,927,"#66C2A5"
"Black/African American",3,"80",1980,231,2,693,"#66C2A5"
"Black/African American",3,"80",1990,316,2,948,"#66C2A5"
"Black/African American",4,"40-50",1960,691,3,2764,"#00A36C"
"Black/African American",4,"40-50",1970,2098,3,8392,"#00A36C"
"Black/African American",4,"40-50",1980,1444,3,5776,"#00A36C"
"Black/African American",4,"40-50",1990,1630,3,6520,"#00A36C"
"Black/African American",4,"50-60",1960,563,3,2252,"#00A36C"
"Black/African American",4,"50-60",1970,1563,3,6252,"#00A36C"
"Black/African American",4,"50-60",1980,1104,3,4416,"#00A36C"
"Black/African American",4,"50-60",1990,1423,3,5692,"#00A36C"
