allele,marker,frequency,population
2.2,CSF1PO,0,AfAm
2.2,D10S1248,0,AfAm
2.2,D12S391,0,AfAm
2.2,D13S317,0,AfAm
2.2,D16S539,0,AfAm
2.2,D18S51,0,AfAm
2.2,D19S433,0,AfAm
2.2,D1S1656,0,AfAm
2.2,D21S11,0,AfAm
2.2,D22S1045,0,AfAm
2.2,D2S1338,0,AfAm
2.2,D2S441,0,AfAm
2.2,D3S1358,0,AfAm
2.2,D5S818,0,AfAm
2.2,D6S1043,0,AfAm
2.2,D7S820,0,AfAm
2.2,D8S1179,0,AfAm
2.2,F13A01,0,AfAm
2.2,F13B,0,AfAm
2.2,FESFPS,0,AfAm
2.2,FGA,0,AfAm
2.2,LPL,0,AfAm
2.2,Penta_C,0,AfAm
2.2,Penta_D,0.114035087719298,AfAm
2.2,Penta_E,0,AfAm
2.2,SE33,0,AfAm
2.2,TH01,0,AfAm
2.2,TPOX,0,AfAm
2.2,vWA,0,AfAm
3.2,CSF1PO,0,AfAm
3.2,D10S1248,0,AfAm
3.2,D12S391,0,AfAm
3.2,D13S317,0,AfAm
3.2,D16S539,0,AfAm
3.2,D18S51,0,AfAm
3.2,D19S433,0,AfAm
3.2,D1S1656,0,AfAm
3.2,D21S11,0,AfAm
3.2,D22S1045,0,AfAm
3.2,D2S1338,0,AfAm
3.2,D2S441,0,AfAm
3.2,D3S1358,0,AfAm
3.2,D5S818,0,AfAm
3.2,D6S1043,0,AfAm
3.2,D7S820,0,AfAm
3.2,D8S1179,0,AfAm
3.2,F13A01,0.118421052631579,AfAm
3.2,F13B,0,AfAm
3.2,FESFPS,0,AfAm
3.2,FGA,0,AfAm
3.2,LPL,0,AfAm
3.2,Penta_C,0,AfAm
3.2,Penta_D,0.0087719298245614,AfAm
3.2,Penta_E,0,AfAm
3.2,SE33,0,AfAm
3.2,TH01,0,AfAm
3.2,TPOX,0,AfAm
3.2,vWA,0,AfAm
4,CSF1PO,0,AfAm
4,D10S1248,0,AfAm
4,D12S391,0,AfAm
4,D13S317,0,AfAm
4,D16S539,0,AfAm
4,D18S51,0,AfAm
4,D19S433,0,AfAm
4,D1S1656,0,AfAm
4,D21S11,0,AfAm
4,D22S1045,0,AfAm
4,D2S1338,0,AfAm
4,D2S441,0,AfAm
4,D3S1358,0,AfAm
4,D5S818,0,AfAm
4,D6S1043,0,AfAm
4,D7S820,0,AfAm
4,D8S1179,0,AfAm
4,F13A01,0.0687134502923977,AfAm
4,F13B,0,AfAm
4,FESFPS,0,AfAm
