Database,pop,value_type,value,Source_link,year,Comments
AncestryDNA,Total,number,25000000,https://www.ancestry.com/corporate/about-ancestry/company-facts,2024,
MyHeritage,Total,number,6500000,https://blog.myheritage.com/2023/03/myheritage-announces-third-installment-of-dna-quest-initiative/,2023,
23andMe,Total,number,15000000,https://research.23andme.com/research-innovation-collaborations/,2024,
23andMe,Black,number,443000,https://research.23andme.com/research-innovation-collaborations/,2022,“African American”
23andMe,Asian,number,397000,https://research.23andme.com/research-innovation-collaborations/,2022,"“East Asian” (314,000) + “South Asian” (83,000)"
23andMe,Hispanic,number,1312000,https://research.23andme.com/research-innovation-collaborations/,2022,“Latine”
23andMe,West Asian and North African,number,82000,https://research.23andme.com/research-innovation-collaborations/,2022,
23andMe,Other,number,365000,https://research.23andme.com/research-innovation-collaborations/,2022,"""Other Non-European”"
23andMe,White,number,5401000,https://research.23andme.com/research-innovation-collaborations/,2022,
FamilyTreeDNA,Total,number,2000000,"https://www.familytreedna.com/#:~:text=Over%202%20million%20people%20have,matching%20database%20in%20the%20industry.",2024,
FamilyTreeDNA,,,,,,
FamilyTreeDNA,,,,,,
GEDmatch,Total,number,1200000,https://www.gedmatch.com/education/what-is-gedmatch/,2024,
Living DNA,Total,number,300000,"https://isogg.org/wiki/Autosomal_DNA_testing_comparison_chart#:~:text=Number%20of%20people%20in%20the%20database%20(as,2024%2C%202024%20presentation%20by%20Crista%20Cowan%20at",2021,
