State,variable_detailed,variatble_type,value,file
South Dakota,males,sex,51197,https://drive.google.com/file/d/1n-nihGDoLHyMqH74-oEMkB68pY69ETyF/view?usp=sharing
South Dakota,females,sex,16556,https://drive.google.com/file/d/1n-nihGDoLHyMqH74-oEMkB68pY69ETyF/view?usp=sharing
South Dakota,asian,race,56,https://drive.google.com/file/d/1n-nihGDoLHyMqH74-oEMkB68pY69ETyF/view?usp=sharing
South Dakota,black,race,4041,https://drive.google.com/file/d/1n-nihGDoLHyMqH74-oEMkB68pY69ETyF/view?usp=sharing
South Dakota,hispanic,race,2949,https://drive.google.com/file/d/1n-nihGDoLHyMqH74-oEMkB68pY69ETyF/view?usp=sharing
South Dakota,native_american,race,14593,https://drive.google.com/file/d/1n-nihGDoLHyMqH74-oEMkB68pY69ETyF/view?usp=sharing
South Dakota,other/unknown,race,891,https://drive.google.com/file/d/1n-nihGDoLHyMqH74-oEMkB68pY69ETyF/view?usp=sharing
South Dakota,white/caucasian,race,45223,https://drive.google.com/file/d/1n-nihGDoLHyMqH74-oEMkB68pY69ETyF/view?usp=sharing
California,male_convicted_offender,sex,1603222,https://drive.google.com/file/d/1e2THs5mgguRH7I_la7lyEcWf5heX2DuG/view?usp=sharing
California,female_convicted_offender,sex,309827,https://drive.google.com/file/d/1e2THs5mgguRH7I_la7lyEcWf5heX2DuG/view?usp=sharing
California,unknown_convicted_offender,sex,106850,https://drive.google.com/file/d/1e2THs5mgguRH7I_la7lyEcWf5heX2DuG/view?usp=sharing
California,male_arrestee,sex,524231,https://drive.google.com/file/d/1e2THs5mgguRH7I_la7lyEcWf5heX2DuG/view?usp=sharing
California,female_arrestee,sex,208225,https://drive.google.com/file/d/1e2THs5mgguRH7I_la7lyEcWf5heX2DuG/view?usp=sharing
California,unknown_arrestee,sex,19366,https://drive.google.com/file/d/1e2THs5mgguRH7I_la7lyEcWf5heX2DuG/view?usp=sharing
California,convicted_offender,offender_type,2019899,https://drive.google.com/file/d/1e2THs5mgguRH7I_la7lyEcWf5heX2DuG/view?usp=sharing
California,arrestee,offender_type,751822,https://drive.google.com/file/d/1e2THs5mgguRH7I_la7lyEcWf5heX2DuG/view?usp=sharing
California,african_american_convicted_offender,race,368952,https://drive.google.com/file/d/1e2THs5mgguRH7I_la7lyEcWf5heX2DuG/view?usp=sharing
California,caucasian_convicted_offender,race,588555,https://drive.google.com/file/d/1e2THs5mgguRH7I_la7lyEcWf5heX2DuG/view?usp=sharing
California,hispanic_convicted_offender,race,652121,https://drive.google.com/file/d/1e2THs5mgguRH7I_la7lyEcWf5heX2DuG/view?usp=sharing
California,asian_convicted_offender,race,16384,https://drive.google.com/file/d/1e2THs5mgguRH7I_la7lyEcWf5heX2DuG/view?usp=sharing
California,african_american_arrestee,race,104741,https://drive.google.com/file/d/1e2THs5mgguRH7I_la7lyEcWf5heX2DuG/view?usp=sharing
California,caucasian_arrestee,race,231313,https://drive.google.com/file/d/1e2THs5mgguRH7I_la7lyEcWf5heX2DuG/view?usp=sharing
California,hispanic_arrestee,race,308450,https://drive.google.com/file/d/1e2THs5mgguRH7I_la7lyEcWf5heX2DuG/view?usp=sharing
California,asian_arrestee,race,11191,https://drive.google.com/file/d/1e2THs5mgguRH7I_la7lyEcWf5heX2DuG/view?usp=sharing
Indiana,convicted_offender,offender_type,279654,https://drive.google.com/file/d/1X44WJnfMULZ7GkYyKQ_aMI1UWktNBOxm/view?usp=sharing
Indiana,arrestee,offender_type,21087,https://drive.google.com/file/d/1X44WJnfMULZ7GkYyKQ_aMI1UWktNBOxm/view?usp=sharing
Indiana,male_proportion,sex,0.8,https://drive.google.com/file/d/1X44WJnfMULZ7GkYyKQ_aMI1UWktNBOxm/view?usp=sharing
Indiana,female_proportion,sex,0.2,https://drive.google.com/file/d/1X44WJnfMULZ7GkYyKQ_aMI1UWktNBOxm/view?usp=sharing
Indiana,causasian_proportion,race,0.7,https://drive.google.com/file/d/1X44WJnfMULZ7GkYyKQ_aMI1UWktNBOxm/view?usp=sharing
Indiana,black_proportion,race,0.26,https://drive.google.com/file/d/1X44WJnfMULZ7GkYyKQ_aMI1UWktNBOxm/view?usp=sharing
Indiana,hispanic_proportion,race,0.04,https://drive.google.com/file/d/1X44WJnfMULZ7GkYyKQ_aMI1UWktNBOxm/view?usp=sharing
Indiana,other/unknown_proportion,race,0.01,https://drive.google.com/file/d/1X44WJnfMULZ7GkYyKQ_aMI1UWktNBOxm/view?usp=sharing
Maine,male,sex,27894,https://drive.google.com/file/d/1kx6hp0M7_04j6kptEtvLTF6SNfY_KnU_/view?usp=sharing
Maine,female,sex,5734,https://drive.google.com/file/d/1kx6hp0M7_04j6kptEtvLTF6SNfY_KnU_/view?usp=sharing
Maine,unknown,sex,83,https://drive.google.com/file/d/1kx6hp0M7_04j6kptEtvLTF6SNfY_KnU_/view?usp=sharing
Maine,white,race,31298,https://drive.google.com/file/d/1kx6hp0M7_04j6kptEtvLTF6SNfY_KnU_/view?usp=sharing
Maine,black,race,1299,https://drive.google.com/file/d/1kx6hp0M7_04j6kptEtvLTF6SNfY_KnU_/view?usp=sharing
Maine,unknown,race,470,https://drive.google.com/file/d/1kx6hp0M7_04j6kptEtvLTF6SNfY_KnU_/view?usp=sharing
Maine,native_american,race,345,https://drive.google.com/file/d/1kx6hp0M7_04j6kptEtvLTF6SNfY_KnU_/view?usp=sharing
Maine,hispanic,race,171,https://drive.google.com/file/d/1kx6hp0M7_04j6kptEtvLTF6SNfY_KnU_/view?usp=sharing
Maine,asian,race,128,https://drive.google.com/file/d/1kx6hp0M7_04j6kptEtvLTF6SNfY_KnU_/view?usp=sharing
Texas,female_offender,gender,121434,https://drive.google.com/file/d/1G1rTp-YTHhV3ocb3toIVS4kK_9KioWhT/view?usp=sharing
Texas,female_arrestee,gender,18721,https://drive.google.com/file/d/1G1rTp-YTHhV3ocb3toIVS4kK_9KioWhT/view?usp=sharing
Texas,offender,offender_type,845322,https://drive.google.com/file/d/1G1rTp-YTHhV3ocb3toIVS4kK_9KioWhT/view?usp=sharing
Texas,arrestee,offender_type,73631,https://drive.google.com/file/d/1G1rTp-YTHhV3ocb3toIVS4kK_9KioWhT/view?usp=sharing
Texas,asian_offender,race,3361,https://drive.google.com/file/d/1G1rTp-YTHhV3ocb3toIVS4kK_9KioWhT/view?usp=sharing
Texas,african_american_offender,race,254366,https://drive.google.com/file/d/1G1rTp-YTHhV3ocb3toIVS4kK_9KioWhT/view?usp=sharing
Texas,caucasian_offender,race,309010,https://drive.google.com/file/d/1G1rTp-YTHhV3ocb3toIVS4kK_9KioWhT/view?usp=sharing
Texas,hispanic_offender,race,276245,https://drive.google.com/file/d/1G1rTp-YTHhV3ocb3toIVS4kK_9KioWhT/view?usp=sharing
Texas,native_american_offender,race,138,https://drive.google.com/file/d/1G1rTp-YTHhV3ocb3toIVS4kK_9KioWhT/view?usp=sharing
Texas,other_offender,race,2173,https://drive.google.com/file/d/1G1rTp-YTHhV3ocb3toIVS4kK_9KioWhT/view?usp=sharing
Texas,asian_arrestee,race,497,https://drive.google.com/file/d/1G1rTp-YTHhV3ocb3toIVS4kK_9KioWhT/view?usp=sharing
Texas,african_american_arrestee,race,12903,https://drive.google.com/file/d/1G1rTp-YTHhV3ocb3toIVS4kK_9KioWhT/view?usp=sharing
Texas,caucasian_arrestee,race,33486,https://drive.google.com/file/d/1G1rTp-YTHhV3ocb3toIVS4kK_9KioWhT/view?usp=sharing
Texas,hispanic_arrestee,race,24202,https://drive.google.com/file/d/1G1rTp-YTHhV3ocb3toIVS4kK_9KioWhT/view?usp=sharing
Texas,native_american_arrestee,race,24,https://drive.google.com/file/d/1G1rTp-YTHhV3ocb3toIVS4kK_9KioWhT/view?usp=sharing
Texas,other_arrestee,race,358,https://drive.google.com/file/d/1G1rTp-YTHhV3ocb3toIVS4kK_9KioWhT/view?usp=sharing
Nevada,arrested_offender,offender_type,185074,https://drive.google.com/file/d/1zGeepvoCzK-I7oIAlkDSqWcF9V78t8nR/view?usp=sharing
Nevada,conviceted_offender,offender_type,159023,https://drive.google.com/file/d/1zGeepvoCzK-I7oIAlkDSqWcF9V78t8nR/view?usp=sharing
Nevada,male,sex,280738,https://drive.google.com/file/d/1zGeepvoCzK-I7oIAlkDSqWcF9V78t8nR/view?usp=sharing
Nevada,female,sex,63287,https://drive.google.com/file/d/1zGeepvoCzK-I7oIAlkDSqWcF9V78t8nR/view?usp=sharing
Nevada,unknown,sex,72,https://drive.google.com/file/d/1zGeepvoCzK-I7oIAlkDSqWcF9V78t8nR/view?usp=sharing
Nevada,white,race,238723,https://drive.google.com/file/d/1zGeepvoCzK-I7oIAlkDSqWcF9V78t8nR/view?usp=sharing
Nevada,unknown,race,3491,https://drive.google.com/file/d/1zGeepvoCzK-I7oIAlkDSqWcF9V78t8nR/view?usp=sharing
Nevada,american_indian,race,5710,https://drive.google.com/file/d/1zGeepvoCzK-I7oIAlkDSqWcF9V78t8nR/view?usp=sharing
Nevada,black,race,88174,https://drive.google.com/file/d/1zGeepvoCzK-I7oIAlkDSqWcF9V78t8nR/view?usp=sharing
Nevada,asian,race,7999,https://drive.google.com/file/d/1zGeepvoCzK-I7oIAlkDSqWcF9V78t8nR/view?usp=sharing
Florida,male,sex,901126,https://drive.google.com/file/d/1lGKAaIRQfz9qHzTc64K0o3AGHEUM-2DS/view?usp=sharing
Florida,female,sex,260885,https://drive.google.com/file/d/1lGKAaIRQfz9qHzTc64K0o3AGHEUM-2DS/view?usp=sharing
Florida,unknown,sex,13380,https://drive.google.com/file/d/1lGKAaIRQfz9qHzTc64K0o3AGHEUM-2DS/view?usp=sharing
Florida,african_american,race,413733,https://drive.google.com/file/d/1lGKAaIRQfz9qHzTc64K0o3AGHEUM-2DS/view?usp=sharing
Florida,asian,race,2659,https://drive.google.com/file/d/1lGKAaIRQfz9qHzTc64K0o3AGHEUM-2DS/view?usp=sharing
Florida,caucasian,race,721485,https://drive.google.com/file/d/1lGKAaIRQfz9qHzTc64K0o3AGHEUM-2DS/view?usp=sharing
Florida,hispanic,race,28452,https://drive.google.com/file/d/1lGKAaIRQfz9qHzTc64K0o3AGHEUM-2DS/view?usp=sharing
Florida,native_american,race,667,https://drive.google.com/file/d/1lGKAaIRQfz9qHzTc64K0o3AGHEUM-2DS/view?usp=sharing
Florida,other,race,1176,https://drive.google.com/file/d/1lGKAaIRQfz9qHzTc64K0o3AGHEUM-2DS/view?usp=sharing
Florida,unknown,race,7219,https://drive.google.com/file/d/1lGKAaIRQfz9qHzTc64K0o3AGHEUM-2DS/view?usp=sharing
Alabama,black_proportion,DNA_collection_breakdown,0.46,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alabama,white_proportion,DNA_collection_breakdown,0.54,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alabama,black,DNA_collection_breakdown,18253,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alabama,white,DNA_collection_breakdown,21292,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alabama,black_proportion,state_demographic,0.268,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alabama,hispanic_proportion,state_demographic,0.042,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alabama,asian_proportion,state_demographic,0.014,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alabama,native_american_proportion,state_demographic,0.007,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alabama,white_proportion,state_demographic,0.66,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alabama,black_proportion,population_data_collected,0.014,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alabama,white_proportion,population_data_collected,0.007,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alaska,black_proportion,DNA_collection_breakdown,0.076,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alaska,hispanic_proportion,DNA_collection_breakdown,0.028,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alaska,asian_proportion,DNA_collection_breakdown,0.03,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alaska,native_american_proportion,DNA_collection_breakdown,0.431,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alaska,white_proportion,DNA_collection_breakdown,0.435,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alaska,black,DNA_collection_breakdown,914,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alaska,hispanic,DNA_collection_breakdown,23604,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alaska,asian,DNA_collection_breakdown,365,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alaska,native_american,DNA_collection_breakdown,5191,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alaska,white,DNA_collection_breakdown,5237,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alaska,black_proportion,state_demographic,0.039,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alaska,hispanic_proportion,state_demographic,0.07,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alaska,asian_proportion,state_demographic,0.063,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alaska,native_american_proportion,state_demographic,0.148,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alaska,white_proportion,state_demographic,0.615,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alaska,black_proportion,population_data_collected,0.032,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alaska,hispanic_proportion,population_data_collected,0.007,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alaska,asian_proportion,population_data_collected,0.008,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alaska,native_american_proportion,population_data_collected,0.047,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Alaska,white_proportion,population_data_collected,0.012,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Arizona,black_proportion,DNA_collection_breakdown,0.126,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Arizona,hispanic_proportion,DNA_collection_breakdown,0.32,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Arizona,asian_proportion,DNA_collection_breakdown,0.005,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Arizona,native_american_proportion,DNA_collection_breakdown,0.082,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Arizona,white_proportion,DNA_collection_breakdown,0.466,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Arizona,black,DNA_collection_breakdown,9313,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Arizona,hispanic,DNA_collection_breakdown,23604,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Arizona,asian,DNA_collection_breakdown,358,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Arizona,native_american,DNA_collection_breakdown,6041,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Arizona,white,DNA_collection_breakdown,34353,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
Arizona,black_proportion,state_demographic,0.048,https://drive.google.com/file/d/12HjMjiu1W9L6SblIHv9AZMSxgU2NzLAE/view?usp=sharing
