ID1	POP1	ID2	POP2	IBD_CM_SUM
HG00325	FIN	HG00379	FIN	5.063721
HG03352	ESN	HG03366	ESN	732.1064
HG01945	PEL	HG01976	PEL	6.043274
HG00171	FIN	HG00273	FIN	7.51004
HG00325	FIN	HG00330	FIN	7.449201
HG00171	FIN	HG00186	FIN	7.020126
HG00171	FIN	HG00334	FIN	21.94612
HG00325	FIN	HG00337	FIN	7.444885
HG00273	FIN	HG00274	FIN	5.973816
HG00759	CDX	HG01870	KHV	5.183205
NA20586	TSI	NA20783	TSI	11.61157
HG00349	FIN	HG00372	FIN	14.08112
HG00273	FIN	HG00346	FIN	12.12881
HG01577	PEL	NA19731	MXL	5.141174
HG01997	PEL	HG02425	PEL	10.72529
HG00282	FIN	HG00310	FIN	29.08475
HG03352	ESN	HG03485	MSL	5.567856
HG03246	GWD	HG03247	GWD	347.3112
HG01108	PUR	HG01325	PUR	28.7965
HG00323	FIN	HG00334	FIN	13.74606
HG01997	PEL	HG02002	PEL	31.04196
HG00325	FIN	HG00381	FIN	27.49127
HG01686	IBS	HG01708	IBS	5.021118
HG00282	FIN	HG00346	FIN	30.66223
HG00325	FIN	HG00369	FIN	58.36236
HG02595	GWD	HG03246	GWD	6.52121
HG00273	FIN	HG00330	FIN	17.95652
HG00171	FIN	HG00383	FIN	11.71354
HG00282	FIN	HG00376	FIN	18.0464
HG01811	CDX	HG02181	CDX	20.77807
HG00171	FIN	HG00320	FIN	7.411575
HG01375	CLM	HG01384	CLM	5.423721
HG01945	PEL	HG02292	PEL	13.8063
HG01989	ACB	HG02052	ACB	8.249901
NA21124	GIH	NA21143	GIH	17.97608
HG00323	FIN	HG00367	FIN	21.72654
HG01353	CLM	HG01375	CLM	31.38251
HG00325	FIN	HG00378	FIN	35.61951
HG01804	CDX	HG02386	CDX	6.131042
HG03836	STU	HG03850	STU	6.41227
HG02026	KHV	HG02032	KHV	7.181549
HG01804	CDX	HG02387	CDX	6.131042
HG00171	FIN	HG00369	FIN	12.05777
HG00171	FIN	HG00336	FIN	19.22172
HG00325	FIN	HG00382	FIN	23.30795
HG01398	PUR	HG01413	PUR	47.51204
HG01804	CDX	HG02408	CDX	16.24386
HG00282	FIN	HG00366	FIN	35.4276
HG00759	CDX	HG01812	CDX	5.910828
