allele,marker,frequency,population
2.2,CSF1PO,0,all
2.2,D10S1248,0,all
2.2,D12S391,0,all
2.2,D13S317,0,all
2.2,D16S539,0,all
2.2,D18S51,0,all
2.2,D19S433,0,all
2.2,D1S1656,0,all
2.2,D21S11,0,all
2.2,D22S1045,0,all
2.2,D2S1338,0,all
2.2,D2S441,0,all
2.2,D3S1358,0,all
2.2,D5S818,0,all
2.2,D6S1043,0,all
2.2,D7S820,0,all
2.2,D8S1179,0,all
2.2,F13A01,0,all
2.2,F13B,0,all
2.2,FESFPS,0,all
2.2,FGA,0,all
2.2,LPL,0,all
2.2,Penta_C,0,all
2.2,Penta_D,0.0429951690821256,all
2.2,Penta_E,0,all
2.2,SE33,0,all
2.2,TH01,0,all
2.2,TPOX,0,all
2.2,vWA,0,all
3.2,CSF1PO,0,all
3.2,D10S1248,0,all
3.2,D12S391,0,all
3.2,D13S317,0,all
3.2,D16S539,0,all
3.2,D18S51,0,all
3.2,D19S433,0,all
3.2,D1S1656,0,all
3.2,D21S11,0,all
3.2,D22S1045,0,all
3.2,D2S1338,0,all
3.2,D2S441,0,all
3.2,D3S1358,0,all
3.2,D5S818,0,all
3.2,D6S1043,0,all
3.2,D7S820,0,all
3.2,D8S1179,0,all
3.2,F13A01,0.138996138996139,all
3.2,F13B,0,all
3.2,FESFPS,0,all
3.2,FGA,0,all
3.2,LPL,0,all
3.2,Penta_C,0,all
3.2,Penta_D,0.0033816425120773,all
3.2,Penta_E,0,all
3.2,SE33,0,all
3.2,TH01,0,all
3.2,TPOX,0,all
3.2,vWA,0,all
4,CSF1PO,0,all
4,D10S1248,0,all
4,D12S391,0,all
4,D13S317,0,all
4,D16S539,0,all
4,D18S51,0,all
4,D19S433,0,all
4,D1S1656,0,all
4,D21S11,0,all
4,D22S1045,0,all
4,D2S1338,0,all
4,D2S441,0,all
4,D3S1358,0,all
4,D5S818,0,all
4,D6S1043,0,all
4,D7S820,0,all
4,D8S1179,0,all
4,F13A01,0.0622586872586873,all
4,F13B,0,all
4,FESFPS,0,all
4,FGA,0,all
4,LPL,0,all
4,Penta_C,0,all
4,Penta_D,0,all
4,Penta_E,0,all
4,SE33,0,all
4,TH01,0,all
4,TPOX,0,all
4,vWA,0,all
4.2,CSF1PO,0,all
4.2,D10S1248,0,all
4.2,D12S391,0,all
4.2,D13S317,0,all
4.2,D16S539,0,all
4.2,D18S51,0,all
4.2,D19S433,0,all
4.2,D1S1656,0,all
4.2,D21S11,0,all
4.2,D22S1045,0,all
4.2,D2S1338,0,all
4.2,D2S441,0,all
4.2,D3S1358,0,all
4.2,D5S818,0,all
4.2,D6S1043,0,all
4.2,D7S820,0,all
4.2,D8S1179,0,all
4.2,F13A01,0.000482625482625483,all
4.2,F13B,0,all
4.2,FESFPS,0,all
4.2,FGA,0,all
4.2,LPL,0,all
4.2,Penta_C,0,all
4.2,Penta_D,0,all
4.2,Penta_E,0,all
4.2,SE33,0,all
4.2,TH01,0,all
4.2,TPOX,0,all
4.2,vWA,0,all
5,CSF1PO,0,all
5,D10S1248,0,all
5,D12S391,0,all
5,D13S317,0,all
5,D16S539,0.000482625482625483,all
5,D18S51,0,all
5,D19S433,0,all
5,D1S1656,0,all
5,D21S11,0,all
5,D22S1045,0,all
5,D2S1338,0,all
5,D2S441,0,all
5,D3S1358,0,all
5,D5S818,0,all
5,D6S1043,0,all
5,D7S820,0,all
5,D8S1179,0,all
5,F13A01,0.22972972972973,all
5,F13B,0,all
5,FESFPS,0.000482625482625483,all
5,FGA,0,all
5,LPL,0,all
5,Penta_C,0.0173745173745174,all
5,Penta_D,0.0159420289855072,all
5,Penta_E,0.0728764478764479,all
5,SE33,0,all
5,TH01,0.00193050193050193,all
5,TPOX,0.000483091787439614,all
5,vWA,0,all
6,CSF1PO,0,all
6,D10S1248,0,all
6,D12S391,0,all
6,D13S317,0,all
6,D16S539,0,all
6,D18S51,0,all
6,D19S433,0,all
6,D1S1656,0,all
6,D21S11,0,all
6,D22S1045,0,all
6,D2S1338,0,all
6,D2S441,0,all
6,D3S1358,0,all
6,D5S818,0,all
6,D6S1043,0,all
6,D7S820,0.000482625482625483,all
6,D8S1179,0,all
6,F13A01,0.247586872586873,all
6,F13B,0.181949806949807,all
6,FESFPS,0.000482625482625483,all
6,FGA,0,all
6,LPL,0,all
6,Penta_C,0,all
6,Penta_D,0.00628019323671498,all
6,Penta_E,0.000482625482625483,all
6,SE33,0,all
6,TH01,0.195945945945946,all
6,TPOX,0.0318840579710145,all
6,vWA,0,all
6.3,CSF1PO,0,all
6.3,D10S1248,0,all
6.3,D12S391,0,all
6.3,D13S317,0,all
6.3,D16S539,0,all
6.3,D18S51,0,all
6.3,D19S433,0,all
6.3,D1S1656,0,all
6.3,D21S11,0,all
6.3,D22S1045,0,all
6.3,D2S1338,0,all
6.3,D2S441,0,all
6.3,D3S1358,0,all
6.3,D5S818,0,all
6.3,D6S1043,0,all
6.3,D7S820,0,all
6.3,D8S1179,0,all
6.3,F13A01,0,all
6.3,F13B,0.000482625482625483,all
6.3,FESFPS,0,all
6.3,FGA,0,all
6.3,LPL,0,all
6.3,Penta_C,0,all
6.3,Penta_D,0,all
6.3,Penta_E,0,all
6.3,SE33,0.000482625482625483,all
6.3,TH01,0,all
6.3,TPOX,0,all
6.3,vWA,0,all
7,CSF1PO,0.0231660231660232,all
7,D10S1248,0,all
7,D12S391,0,all
7,D13S317,0,all
7,D16S539,0,all
7,D18S51,0,all
7,D19S433,0,all
7,D1S1656,0,all
7,D21S11,0,all
7,D22S1045,0,all
7,D2S1338,0,all
7,D2S441,0,all
7,D3S1358,0,all
7,D5S818,0.0111003861003861,all
7,D6S1043,0,all
7,D7S820,0.0164092664092664,all
7,D8S1179,0,all
7,F13A01,0.246621621621622,all
7,F13B,0.0666023166023166,all
7,FESFPS,0.00144787644787645,all
7,FGA,0,all
7,LPL,0.00723938223938224,all
7,Penta_C,0.0082046332046332,all
7,Penta_D,0.0164251207729469,all
7,Penta_E,0.11969111969112,all
7,SE33,0.000482625482625483,all
7,TH01,0.29488416988417,all
7,TPOX,0.0072463768115942,all
7,vWA,0,all
8,CSF1PO,0.0212355212355212,all
8,D10S1248,0.000965250965250965,all
8,D12S391,0,all
8,D13S317,0.0965250965250965,all
8,D16S539,0.0212355212355212,all
8,D18S51,0,all
8,D19S433,0,all
8,D1S1656,0,all
8,D21S11,0,all
8,D22S1045,0.00241312741312741,all
8,D2S1338,0,all
8,D2S441,0.000482625482625483,all
8,D3S1358,0,all
8,D5S818,0.0197876447876448,all
8,D6S1043,0.000482625482625483,all
8,D7S820,0.165540540540541,all
8,D8S1179,0.0106177606177606,all
8,F13A01,0.0217181467181467,all
8,F13B,0.168436293436293,all
8,FESFPS,0.0453667953667954,all
8,FGA,0,all
8,LPL,0.00144787644787645,all
8,Penta_C,0.0328185328185328,all
8,Penta_D,0.0478260869565217,all
8,Penta_E,0.0661196911196911,all
8,SE33,0,all
8,TH01,0.125482625482625,all
8,TPOX,0.466183574879227,all
8,vWA,0,all
8.1,CSF1PO,0,all
8.1,D10S1248,0,all
8.1,D12S391,0,all
8.1,D13S317,0,all
8.1,D16S539,0,all
8.1,D18S51,0,all
8.1,D19S433,0,all
8.1,D1S1656,0,all
8.1,D21S11,0,all
8.1,D22S1045,0,all
8.1,D2S1338,0,all
8.1,D2S441,0,all
8.1,D3S1358,0,all
8.1,D5S818,0,all
8.1,D6S1043,0,all
8.1,D7S820,0.000482625482625483,all
8.1,D8S1179,0,all
8.1,F13A01,0,all
8.1,F13B,0,all
8.1,FESFPS,0,all
8.1,FGA,0,all
8.1,LPL,0,all
8.1,Penta_C,0,all
8.1,Penta_D,0,all
8.1,Penta_E,0,all
8.1,SE33,0,all
8.1,TH01,0,all
8.1,TPOX,0,all
