population,relationship_tested,loci_set,proportion_exceeding_fixed,proportion_exceeding_1,proportion_exceeding_0_1,proportion_exceeding_0_01,n_related
AfAm,parent_child,core_13,0.218166666666667,0.218166666666667,0.214666666666667,0.18,6000
AfAm,full_siblings,core_13,0.458333333333333,0.362333333333333,0.251833333333333,0.142,6000
AfAm,half_siblings,core_13,0.636833333333333,0.445166666666667,0.267166666666667,0.0915,6000
AfAm,cousins,core_13,0.771666666666667,0.184166666666667,0.0136666666666667,0.00116666666666667,6000
AfAm,second_cousins,core_13,0.791666666666667,0.0476666666666667,0.0015,0,6000
Cauc,parent_child,core_13,0.214833333333333,0.214666666666667,0.214333333333333,0.206333333333333,6000
Cauc,full_siblings,core_13,0.428833333333333,0.3715,0.300166666666667,0.224333333333333,6000
Cauc,half_siblings,core_13,0.590333333333333,0.461666666666667,0.354166666666667,0.232166666666667,6000
Cauc,cousins,core_13,0.723333333333333,0.300166666666667,0.0698333333333333,0.0128333333333333,6000
Cauc,second_cousins,core_13,0.744166666666667,0.119166666666667,0.0185,0.000833333333333333,6000
Hispanic,parent_child,core_13,0.213666666666667,0.213333333333333,0.2115,0.2005,6000
Hispanic,full_siblings,core_13,0.432,0.361333333333333,0.2765,0.198833333333333,6000
Hispanic,half_siblings,core_13,0.598333333333333,0.451333333333333,0.3165,0.172666666666667,6000
Hispanic,cousins,core_13,0.7295,0.237833333333333,0.034,0.00266666666666667,6000
Hispanic,second_cousins,core_13,0.750166666666667,0.076,0.002,0.000166666666666667,6000
Asian,parent_child,core_13,0.2195,0.219333333333333,0.216,0.201166666666667,6000
Asian,full_siblings,core_13,0.434833333333333,0.340333333333333,0.255833333333333,0.185833333333333,6000
Asian,half_siblings,core_13,0.615,0.434166666666667,0.291,0.172,6000
Asian,cousins,core_13,0.763166666666667,0.159333333333333,0.0146666666666667,0.001,6000
Asian,second_cousins,core_13,0.782666666666667,0.0255,0.000333333333333333,0,6000
AfAm,parent_child,identifiler_15,0.203,0.203,0.202833333333333,0.2025,6000
AfAm,full_siblings,identifiler_15,0.452,0.3825,0.319333333333333,0.285833333333333,6000
AfAm,half_siblings,identifiler_15,0.630333333333333,0.476666666666667,0.370833333333333,0.311833333333333,6000
AfAm,cousins,identifiler_15,0.781166666666667,0.283333333333333,0.053,0.0188333333333333,6000
AfAm,second_cousins,identifiler_15,0.8055,0.0873333333333333,0.00683333333333333,0.00166666666666667,6000
Cauc,parent_child,identifiler_15,0.201,0.201,0.201,0.200666666666667,6000
Cauc,full_siblings,identifiler_15,0.428833333333333,0.376333333333333,0.334,0.305666666666667,6000
Cauc,half_siblings,identifiler_15,0.587666666666667,0.475833333333333,0.4,0.349333333333333,6000
