"RACE","YEAR","chborn_num","n"
"Black/African American",1960,0,6697
"Black/African American",1960,1,4698
"Black/African American",1960,2,3411
"Black/African American",1960,3,2445
"Black/African American",1960,4,1949
"Black/African American",1960,5,1361
"Black/African American",1960,6,1162
"Black/African American",1960,7,932
"Black/African American",1960,8,810
"Black/African American",1960,9,588
"Black/African American",1960,10,549
"Black/African American",1960,11,326
"Black/African American",1960,12,821
"Black/African American",1970,0,16490
"Black/African American",1970,1,11686
"Black/African American",1970,2,9275
"Black/African American",1970,3,7161
"Black/African American",1970,4,5659
"Black/African American",1970,5,4147
"Black/African American",1970,6,3147
"Black/African American",1970,7,2542
"Black/African American",1970,8,2012
"Black/African American",1970,9,1473
"Black/African American",1970,10,1194
"Black/African American",1970,11,784
"Black/African American",1970,12,1682
"Black/African American",1980,0,8417
"Black/African American",1980,1,6383
"Black/African American",1980,2,5681
"Black/African American",1980,3,4797
"Black/African American",1980,4,3732
"Black/African American",1980,5,2870
"Black/African American",1980,6,2264
"Black/African American",1980,7,1782
"Black/African American",1980,8,1310
"Black/African American",1980,9,943
"Black/African American",1980,10,717
"Black/African American",1980,11,452
"Black/African American",1980,12,870
"Black/African American",1990,0,7193
"Black/African American",1990,1,6635
"Black/African American",1990,2,7485
"Black/African American",1990,3,6161
"Black/African American",1990,4,4673
"Black/African American",1990,5,3333
"Black/African American",1990,6,2445
"Black/African American",1990,7,1752
"Black/African American",1990,8,1263
"Black/African American",1990,9,853
"Black/African American",1990,10,590
"Black/African American",1990,11,348
"Black/African American",1990,12,772
"White",1960,0,46202
"White",1960,1,47433
"White",1960,2,60732
"White",1960,3,41272
"White",1960,4,25666
"White",1960,5,15327
"White",1960,6,9697
"White",1960,7,6347
"White",1960,8,4518
"White",1960,9,2990
"White",1960,10,2148
"White",1960,11,1280
"White",1960,12,1747
"White",1970,0,133940
"White",1970,1,106663
"White",1970,2,157405
"White",1970,3,112397
"White",1970,4,68603
"White",1970,5,38000
"White",1970,6,22023
"White",1970,7,12927
"White",1970,8,8534
"White",1970,9,5342
"White",1970,10,3593
"White",1970,11,2082
"White",1970,12,2858
"White",1980,0,61909
"White",1980,1,51856
"White",1980,2,89551
"White",1980,3,70716
"White",1980,4,43190
"White",1980,5,23170
"White",1980,6,12556
"White",1980,7,6589
"White",1980,8,3874
"White",1980,9,2254
"White",1980,10,1368
"White",1980,11,757
"White",1980,12,1073
"White",1990,0,62471
"White",1990,1,56647
"White",1990,2,119054
"White",1990,3,90170
"White",1990,4,51511
"White",1990,5,25385
"White",1990,6,12698
"White",1990,7,6292
"White",1990,8,3479
"White",1990,9,1876
"White",1990,10,1132
"White",1990,11,623
"White",1990,12,828
