"RACE","AuntsUncles","n","p"
"Black/African American",0,71,0.001775
"Black/African American",1,219,0.005475
"Black/African American",2,409,0.010225
"Black/African American",3,720,0.018
"Black/African American",4,1115,0.027875
"Black/African American",5,1579,0.039475
"Black/African American",6,2067,0.051675
"Black/African American",7,2649,0.066225
"Black/African American",8,3069,0.076725
"Black/African American",9,3295,0.082375
"Black/African American",10,3516,0.0879
"Black/African American",11,3457,0.086425
"Black/African American",12,3320,0.083
"Black/African American",13,2938,0.07345
"Black/African American",14,2503,0.062575
"Black/African American",15,2182,0.05455
"Black/African American",16,1736,0.0434
"Black/African American",17,1381,0.034525
"Black/African American",18,1056,0.0264
"Black/African American",19,753,0.018825
"Black/African American",20,577,0.014425
"Black/African American",21,448,0.0112
"Black/African American",22,305,0.007625
"Black/African American",23,200,0.005
"Black/African American",24,164,0.0041
"Black/African American",25,89,0.002225
"Black/African American",26,54,0.00135
"Black/African American",27,45,0.001125
"Black/African American",28,27,0.000675
"Black/African American",29,10,0.00025
"Black/African American",30,15,0.000375
"Black/African American",31,10,0.00025
"Black/African American",32,5,0.000125
"Black/African American",33,7,0.000175
"Black/African American",34,2,5e-05
"Black/African American",35,5,0.000125
"Black/African American",37,2,5e-05
"White",0,123,0.003075
"White",1,455,0.011375
"White",2,1100,0.0275
"White",3,1849,0.046225
"White",4,2919,0.072975
"White",5,3788,0.0947
"White",6,4341,0.108525
"White",7,4671,0.116775
"White",8,4586,0.11465
"White",9,4102,0.10255
"White",10,3502,0.08755
"White",11,2700,0.0675
"White",12,2033,0.050825
"White",13,1374,0.03435
"White",14,1024,0.0256
"White",15,611,0.015275
"White",16,378,0.00945
"White",17,218,0.00545
"White",18,113,0.002825
"White",19,65,0.001625
"White",20,26,0.00065
"White",21,5,0.000125
"White",22,8,2e-04
"White",23,6,0.00015
"White",24,3,7.5e-05
