"RACE","AuntsUncles","n","p"
"Black/African American",0,527,0.0527
"Black/African American",1,1428,0.1428
"Black/African American",2,2279,0.2279
"Black/African American",3,2228,0.2228
"Black/African American",4,1675,0.1675
"Black/African American",5,1024,0.1024
"Black/African American",6,509,0.0509
"Black/African American",7,228,0.0228
"Black/African American",8,66,0.0066
"Black/African American",9,21,0.0021
"Black/African American",10,13,0.0013
"Black/African American",11,2,2e-04
"White",0,466,0.0466
"White",1,1511,0.1511
"White",2,2275,0.2275
"White",3,2199,0.2199
"White",4,1676,0.1676
"White",5,1021,0.1021
"White",6,512,0.0512
"White",7,210,0.021
"White",8,100,0.01
"White",9,19,0.0019
"White",10,11,0.0011
