"RACE","Cousins","n","p"
"Black/African American",0,97,0.002425
"Black/African American",1,36,9e-04
"Black/African American",2,56,0.0014
"Black/African American",3,76,0.0019
"Black/African American",4,100,0.0025
"Black/African American",5,106,0.00265
"Black/African American",6,137,0.003425
"Black/African American",7,144,0.0036
"Black/African American",8,154,0.00385
"Black/African American",9,186,0.00465
"Black/African American",10,234,0.00585
"Black/African American",11,256,0.0064
"Black/African American",12,273,0.006825
"Black/African American",13,310,0.00775
"Black/African American",14,336,0.0084
"Black/African American",15,383,0.009575
"Black/African American",16,379,0.009475
"Black/African American",17,439,0.010975
"Black/African American",18,484,0.0121
"Black/African American",19,506,0.01265
"Black/African American",20,517,0.012925
"Black/African American",21,609,0.015225
"Black/African American",22,529,0.013225
"Black/African American",23,627,0.015675
"Black/African American",24,636,0.0159
"Black/African American",25,679,0.016975
"Black/African American",26,705,0.017625
"Black/African American",27,711,0.017775
"Black/African American",28,724,0.0181
"Black/African American",29,767,0.019175
"Black/African American",30,801,0.020025
"Black/African American",31,828,0.0207
"Black/African American",32,867,0.021675
"Black/African American",33,852,0.0213
"Black/African American",34,847,0.021175
"Black/African American",35,866,0.02165
"Black/African American",36,877,0.021925
"Black/African American",37,850,0.02125
"Black/African American",38,832,0.0208
"Black/African American",39,829,0.020725
"Black/African American",40,881,0.022025
"Black/African American",41,857,0.021425
"Black/African American",42,852,0.0213
"Black/African American",43,801,0.020025
"Black/African American",44,778,0.01945
"Black/African American",45,752,0.0188
"Black/African American",46,737,0.018425
"Black/African American",47,768,0.0192
"Black/African American",48,727,0.018175
"Black/African American",49,707,0.017675
"Black/African American",50,654,0.01635
"Black/African American",51,646,0.01615
"Black/African American",52,648,0.0162
"Black/African American",53,579,0.014475
"Black/African American",54,569,0.014225
"Black/African American",55,628,0.0157
"Black/African American",56,555,0.013875
"Black/African American",57,499,0.012475
"Black/African American",58,468,0.0117
"Black/African American",59,490,0.01225
"Black/African American",60,431,0.010775
"Black/African American",61,388,0.0097
"Black/African American",62,393,0.009825
"Black/African American",63,387,0.009675
"Black/African American",64,345,0.008625
"Black/African American",65,325,0.008125
"Black/African American",66,344,0.0086
"Black/African American",67,308,0.0077
"Black/African American",68,262,0.00655
"Black/African American",69,276,0.0069
"Black/African American",70,254,0.00635
"Black/African American",71,221,0.005525
"Black/African American",72,219,0.005475
"Black/African American",73,179,0.004475
"Black/African American",74,185,0.004625
"Black/African American",75,174,0.00435
"Black/African American",76,174,0.00435
"Black/African American",77,128,0.0032
"Black/African American",78,144,0.0036
"Black/African American",79,118,0.00295
"Black/African American",80,101,0.002525
"Black/African American",81,125,0.003125
"Black/African American",82,113,0.002825
"Black/African American",83,103,0.002575
"Black/African American",84,86,0.00215
"Black/African American",85,78,0.00195
"Black/African American",86,81,0.002025
"Black/African American",87,71,0.001775
"Black/African American",88,59,0.001475
"Black/African American",89,55,0.001375
"Black/African American",90,49,0.001225
"Black/African American",91,50,0.00125
"Black/African American",92,42,0.00105
"Black/African American",93,45,0.001125
"Black/African American",94,44,0.0011
"Black/African American",95,28,7e-04
"Black/African American",96,26,0.00065
"Black/African American",97,32,8e-04
"Black/African American",98,43,0.001075
"Black/African American",99,28,7e-04
"Black/African American",100,20,5e-04
"Black/African American",101,16,4e-04
"Black/African American",102,26,0.00065
"Black/African American",103,22,0.00055
"Black/African American",104,11,0.000275
"Black/African American",105,21,0.000525
"Black/African American",106,13,0.000325
"Black/African American",107,11,0.000275
"Black/African American",108,7,0.000175
"Black/African American",109,9,0.000225
"Black/African American",110,3,7.5e-05
"Black/African American",111,10,0.00025
"Black/African American",112,8,2e-04
"Black/African American",113,12,3e-04
"Black/African American",114,4,1e-04
"Black/African American",115,3,7.5e-05
"Black/African American",116,1,2.5e-05
"Black/African American",117,4,1e-04
"Black/African American",118,4,1e-04
"Black/African American",119,3,7.5e-05
"Black/African American",120,2,5e-05
"Black/African American",121,2,5e-05
"Black/African American",122,4,1e-04
"Black/African American",123,2,5e-05
"Black/African American",124,2,5e-05
"Black/African American",125,3,7.5e-05
"Black/African American",126,1,2.5e-05
"Black/African American",127,3,7.5e-05
"Black/African American",128,2,5e-05
"Black/African American",129,1,2.5e-05
"Black/African American",132,3,7.5e-05
"Black/African American",133,3,7.5e-05
"Black/African American",134,1,2.5e-05
"Black/African American",135,2,5e-05
"Black/African American",136,1,2.5e-05
"Black/African American",137,1,2.5e-05
"Black/African American",141,1,2.5e-05
"Black/African American",147,1,2.5e-05
"Black/African American",151,1,2.5e-05
