"RACE","Cousins","n","p"
"Black/African American",0,14,0.0014
"Black/African American",1,14,0.0014
"Black/African American",2,22,0.0022
"Black/African American",3,21,0.0021
"Black/African American",4,26,0.0026
"Black/African American",5,47,0.0047
"Black/African American",6,48,0.0048
"Black/African American",7,49,0.0049
"Black/African American",8,82,0.0082
"Black/African American",9,87,0.0087
"Black/African American",10,90,0.009
"Black/African American",11,82,0.0082
"Black/African American",12,124,0.0124
"Black/African American",13,113,0.0113
"Black/African American",14,130,0.013
"Black/African American",15,144,0.0144
"Black/African American",16,169,0.0169
"Black/African American",17,175,0.0175
"Black/African American",18,162,0.0162
"Black/African American",19,186,0.0186
"Black/African American",20,228,0.0228
"Black/African American",21,204,0.0204
"Black/African American",22,225,0.0225
"Black/African American",23,247,0.0247
"Black/African American",24,237,0.0237
"Black/African American",25,225,0.0225
"Black/African American",26,193,0.0193
"Black/African American",27,256,0.0256
"Black/African American",28,234,0.0234
"Black/African American",29,214,0.0214
"Black/African American",30,241,0.0241
"Black/African American",31,249,0.0249
"Black/African American",32,244,0.0244
"Black/African American",33,212,0.0212
"Black/African American",34,247,0.0247
"Black/African American",35,259,0.0259
"Black/African American",36,200,0.02
"Black/African American",37,212,0.0212
"Black/African American",38,207,0.0207
"Black/African American",39,195,0.0195
"Black/African American",40,187,0.0187
"Black/African American",41,209,0.0209
"Black/African American",42,216,0.0216
"Black/African American",43,193,0.0193
"Black/African American",44,191,0.0191
"Black/African American",45,167,0.0167
"Black/African American",46,147,0.0147
"Black/African American",47,130,0.013
"Black/African American",48,132,0.0132
"Black/African American",49,153,0.0153
"Black/African American",50,144,0.0144
"Black/African American",51,136,0.0136
"Black/African American",52,107,0.0107
"Black/African American",53,121,0.0121
"Black/African American",54,121,0.0121
"Black/African American",55,100,0.01
"Black/African American",56,107,0.0107
"Black/African American",57,94,0.0094
"Black/African American",58,70,0.007
"Black/African American",59,86,0.0086
"Black/African American",60,77,0.0077
"Black/African American",61,64,0.0064
"Black/African American",62,69,0.0069
"Black/African American",63,67,0.0067
"Black/African American",64,60,0.006
"Black/African American",65,30,0.003
"Black/African American",66,48,0.0048
"Black/African American",67,36,0.0036
"Black/African American",68,40,0.004
"Black/African American",69,48,0.0048
"Black/African American",70,35,0.0035
"Black/African American",71,24,0.0024
"Black/African American",72,30,0.003
"Black/African American",73,29,0.0029
"Black/African American",74,27,0.0027
"Black/African American",75,20,0.002
"Black/African American",76,12,0.0012
"Black/African American",77,21,0.0021
"Black/African American",78,14,0.0014
"Black/African American",79,15,0.0015
"Black/African American",80,11,0.0011
"Black/African American",81,18,0.0018
"Black/African American",82,12,0.0012
"Black/African American",83,5,5e-04
"Black/African American",84,9,9e-04
"Black/African American",85,3,3e-04
"Black/African American",86,7,7e-04
"Black/African American",87,5,5e-04
"Black/African American",88,2,2e-04
"Black/African American",89,4,4e-04
"Black/African American",90,7,7e-04
"Black/African American",91,3,3e-04
"Black/African American",92,4,4e-04
"Black/African American",93,4,4e-04
"Black/African American",94,4,4e-04
"Black/African American",95,4,4e-04
"Black/African American",96,1,1e-04
"Black/African American",97,1,1e-04
"Black/African American",99,1,1e-04
"Black/African American",103,1,1e-04
"Black/African American",105,1,1e-04
"Black/African American",107,1,1e-04
"Black/African American",117,1,1e-04
"White",0,72,0.0072
"White",1,38,0.0038
"White",2,85,0.0085
"White",3,116,0.0116
"White",4,153,0.0153
"White",5,166,0.0166
"White",6,218,0.0218
"White",7,287,0.0287
"White",8,306,0.0306
"White",9,353,0.0353
"White",10,382,0.0382
"White",11,399,0.0399
"White",12,442,0.0442
"White",13,439,0.0439
"White",14,442,0.0442
"White",15,442,0.0442
"White",16,441,0.0441
"White",17,464,0.0464
"White",18,446,0.0446
"White",19,454,0.0454
"White",20,395,0.0395
"White",21,353,0.0353
"White",22,360,0.036
"White",23,298,0.0298
"White",24,302,0.0302
"White",25,270,0.027
"White",26,239,0.0239
"White",27,226,0.0226
"White",28,199,0.0199
"White",29,182,0.0182
"White",30,144,0.0144
"White",31,115,0.0115
"White",32,114,0.0114
"White",33,115,0.0115
"White",34,77,0.0077
"White",35,80,0.008
"White",36,72,0.0072
"White",37,50,0.005
"White",38,42,0.0042
"White",39,47,0.0047
"White",40,35,0.0035
"White",41,25,0.0025
"White",42,23,0.0023
"White",43,25,0.0025
"White",44,14,0.0014
"White",45,14,0.0014
"White",46,6,6e-04
"White",47,4,4e-04
"White",48,5,5e-04
"White",49,3,3e-04
"White",50,3,3e-04
"White",51,2,2e-04
"White",52,3,3e-04
"White",53,1,1e-04
"White",54,3,3e-04
"White",55,3,3e-04
"White",56,2,2e-04
"White",57,2,2e-04
"White",61,2,2e-04
