"RACE","Siblings","n","p"
"Black/African American",0,1000,0.025
"Black/African American",1,1894,0.04735
"Black/African American",2,3831,0.095775
"Black/African American",3,5691,0.142275
"Black/African American",4,6741,0.168525
"Black/African American",5,6552,0.1638
"Black/African American",6,5208,0.1302
"Black/African American",7,3868,0.0967
"Black/African American",8,2334,0.05835
"Black/African American",9,1381,0.034525
"Black/African American",10,740,0.0185
"Black/African American",11,353,0.008825
"Black/African American",12,407,0.010175
"White",0,2039,0.050975
"White",1,5922,0.14805
"White",2,8802,0.22005
"White",3,8733,0.218325
"White",4,6790,0.16975
"White",5,4055,0.101375
"White",6,2144,0.0536
"White",7,949,0.023725
"White",8,377,0.009425
"White",9,129,0.003225
"White",10,39,0.000975
"White",11,12,3e-04
"White",12,9,0.000225
