"RACE","Siblings","n","p"
"Black/African American",0,281,0.0281
"Black/African American",1,746,0.0746
"Black/African American",2,1168,0.1168
"Black/African American",3,1503,0.1503
"Black/African American",4,1494,0.1494
"Black/African American",5,1285,0.1285
"Black/African American",6,1037,0.1037
"Black/African American",7,833,0.0833
"Black/African American",8,549,0.0549
"Black/African American",9,445,0.0445
"Black/African American",10,264,0.0264
"Black/African American",11,157,0.0157
"Black/African American",12,238,0.0238
"White",0,589,0.0589
"White",1,1579,0.1579
"White",2,2113,0.2113
"White",3,2128,0.2128
"White",4,1579,0.1579
"White",5,985,0.0985
"White",6,539,0.0539
"White",7,272,0.0272
"White",8,131,0.0131
"White",9,48,0.0048
"White",10,24,0.0024
"White",11,8,8e-04
"White",12,5,5e-04
