"RACE","Siblings","n","p"
"Black/African American",0,2203,0.2203
"Black/African American",1,3404,0.3404
"Black/African American",2,2489,0.2489
"Black/African American",3,1281,0.1281
"Black/African American",4,444,0.0444
"Black/African American",5,142,0.0142
"Black/African American",6,26,0.0026
"Black/African American",7,10,0.001
"Black/African American",8,1,1e-04
"White",0,2118,0.2118
"White",1,3419,0.3419
"White",2,2484,0.2484
"White",3,1326,0.1326
"White",4,487,0.0487
"White",5,119,0.0119
"White",6,38,0.0038
"White",7,8,8e-04
"White",8,1,1e-04
