State,N_total,N_offenders,N_arrestees,N_ForensicProfiles
Alabama,362574,261574,101000,24574
Alaska,79146,26997,52149,3866
Arizona,479868,411352,68516,34576
Arkansas,261289,183020,78269,14698
California,3269323,2257141,1012182,149446
Colorado,582627,213721,368906,35968
Connecticut,128631,128631,0,16377
Delaware,22704,22704,0,2066
DC/FBI Lab,3034045,2539381,494664,10774
DC,0,0,0,3484
Florida,1774011,1141652,632359,109077
Georgia,442649,442649,0,27558
Hawaii,41703,41703,0,2582
Idaho,70329,70329,0,1867
Illinois,713767,712849,918,67009
Indiana,441794,303566,138228,19962
Iowa,154777,154777,0,10926
Kansas,237445,96390,141055,13133
Kentucky,241089,241089,0,11851
Louisiana,666795,159345,507450,22740
Maine,37624,37624,0,4268
Maryland,203596,146826,56770,19760
Massachusetts,164175,164175,0,16970
Michigan,582674,390000,192674,40799
Minnesota,194155,194155,0,29879
Mississippi,145403,137059,8344,1962
Missouri,790802,360009,70784,39233
Montana,50543,50543,0,2320
Nebraska,58065,58065,0,4552
Nevada,258074,104060,154014,14743
New Hampshire,18979,18979,0,2614
New Jersey,62351,37037,25314,30250
New Mexico,141776,70943,70833,14084
New York,720774,720774,0,84712
North Carolina,386953,315767,71186,23888
North Dakota,50880,14116,36764,3015
Ohio,899148,513065,386083,94270
Oklahoma,205791,193241,12550,11503
Oregon,234373,234373,0,20997
Pennsylvania,474358,474358,0,29467
Puerto Rico,25059,22103,2956,426
Rhode Island,31620,31068,552,2086
South Carolina,296476,222872,73604,22359
South Dakota,89604,28874,60730,4315
Tennessee,439569,281839,157730,18768
Texas,1229577,1035322,194255,108139
U.S. Army,195103,34377,160726,5381
Utah,147937,119884,28053,6777
Vermont,22436,22436,0,1818
Virginia,504911,501024,3887,29121
Washington,328412,328412,0,19691
West Virginia,47610,47610,0,3948
Wisconsin,391151,363582,27569,25425
Wyoming,32552,32552,0,2469
