population,loci_set,fixed_cutoff,cutoff_1,cutoff_0_1,cutoff_0_01,n_unrelated
AfAm,autosomal_29,1,1,1,1,440000
AfAm,core_13,1,1,1,1,440000
AfAm,expanded_20,1,1,1,1,440000
AfAm,identifiler_15,1,1,1,1,440000
AfAm,supplementary,1,1,1,1,440000
Asian,autosomal_29,1,1,1,1,440000
Asian,core_13,1,1,1,1,440000
Asian,expanded_20,1,1,1,1,440000
Asian,identifiler_15,1,1,1,1,440000
Asian,supplementary,1,1,1,1,440000
Cauc,autosomal_29,1,1,1,1,440000
Cauc,core_13,1,1,1,1,440000
Cauc,expanded_20,1,1,1,1,440000
Cauc,identifiler_15,1,1,1,1,440000
Cauc,supplementary,1,1,1,1,440000
Hispanic,autosomal_29,1,1,1,1,440000
Hispanic,core_13,1,1,1,1,440000
Hispanic,expanded_20,1,1,1,1,440000
Hispanic,identifiler_15,1,1,1,1,440000
Hispanic,supplementary,1,1,1,1,440000
