population,relationship_tested,loci_set,proportion_exceeding_fixed,proportion_exceeding_1,proportion_exceeding_0_1,proportion_exceeding_0_01,n_related
AfAm,cousins,autosomal_29,0.799672727272727,0.799672727272727,0.799672727272727,0.799672727272727,220000
AfAm,cousins,core_13,0.655468181818182,0.655468181818182,0.655468181818182,0.655468181818182,220000
AfAm,cousins,expanded_20,0.719681818181818,0.719681818181818,0.719681818181818,0.719681818181818,220000
AfAm,cousins,identifiler_15,0.6785,0.6785,0.6785,0.6785,220000
AfAm,cousins,supplementary,0.7371,0.7371,0.7371,0.7371,220000
AfAm,full_siblings,autosomal_29,0.896204545454545,0.896204545454545,0.896204545454545,0.896204545454545,220000
AfAm,full_siblings,core_13,0.941695454545455,0.941695454545455,0.941695454545455,0.941695454545455,220000
AfAm,full_siblings,expanded_20,0.947881818181818,0.947881818181818,0.947881818181818,0.947881818181818,220000
AfAm,full_siblings,identifiler_15,0.9521,0.9521,0.9521,0.9521,220000
AfAm,full_siblings,supplementary,0.914472727272727,0.914472727272727,0.914472727272727,0.914472727272727,220000
AfAm,half_siblings,autosomal_29,0.932290909090909,0.932290909090909,0.932290909090909,0.932290909090909,220000
AfAm,half_siblings,core_13,0.865645454545455,0.865645454545455,0.865645454545455,0.865645454545455,220000
AfAm,half_siblings,expanded_20,0.919318181818182,0.919318181818182,0.919318181818182,0.919318181818182,220000
AfAm,half_siblings,identifiler_15,0.890527272727273,0.890527272727273,0.890527272727273,0.890527272727273,220000
AfAm,half_siblings,supplementary,0.920481818181818,0.920481818181818,0.920481818181818,0.920481818181818,220000
AfAm,parent_child,autosomal_29,0.911004545454546,0.911004545454546,0.911004545454546,0.911004545454546,220000
AfAm,parent_child,core_13,0.978786363636364,0.978786363636364,0.978786363636364,0.978786363636364,220000
AfAm,parent_child,expanded_20,0.962836363636364,0.962836363636364,0.962836363636364,0.962836363636364,220000
AfAm,parent_child,identifiler_15,0.976904545454545,0.976904545454545,0.976904545454545,0.976904545454545,220000
AfAm,parent_child,supplementary,0.928395454545455,0.928395454545455,0.928395454545455,0.928395454545455,220000
AfAm,second_cousins,autosomal_29,0.747063636363636,0.747063636363636,0.747063636363636,0.747063636363636,220000
AfAm,second_cousins,core_13,0.608404545454546,0.608404545454546,0.608404545454546,0.608404545454546,220000
AfAm,second_cousins,expanded_20,0.666245454545455,0.666245454545455,0.666245454545455,0.666245454545455,220000
AfAm,second_cousins,identifiler_15,0.629313636363636,0.629313636363636,0.629313636363636,0.629313636363636,220000
AfAm,second_cousins,supplementary,0.678113636363636,0.678113636363636,0.678113636363636,0.678113636363636,220000
Asian,cousins,autosomal_29,0.677127272727273,0.677127272727273,0.677127272727273,0.677127272727273,220000
Asian,cousins,core_13,0.604422727272727,0.604422727272727,0.604422727272727,0.604422727272727,220000
Asian,cousins,expanded_20,0.635927272727273,0.635927272727273,0.635927272727273,0.635927272727273,220000
Asian,cousins,identifiler_15,0.620127272727273,0.620127272727273,0.620127272727273,0.620127272727273,220000
Asian,cousins,supplementary,0.601445454545455,0.601445454545455,0.601445454545455,0.601445454545455,220000
Asian,full_siblings,autosomal_29,0.446245454545455,0.446245454545455,0.446245454545455,0.446245454545455,220000
Asian,full_siblings,core_13,0.749977272727273,0.749977272727273,0.749977272727273,0.749977272727273,220000
Asian,full_siblings,expanded_20,0.665704545454546,0.665704545454546,0.665704545454546,0.665704545454546,220000
Asian,full_siblings,identifiler_15,0.73835,0.73835,0.73835,0.73835,220000
Asian,full_siblings,supplementary,0.511713636363636,0.511713636363636,0.511713636363636,0.511713636363636,220000
Asian,half_siblings,autosomal_29,0.667131818181818,0.667131818181818,0.667131818181818,0.667131818181818,220000
Asian,half_siblings,core_13,0.767927272727273,0.767927272727273,0.767927272727273,0.767927272727273,220000
Asian,half_siblings,expanded_20,0.76855,0.76855,0.76855,0.76855,220000
Asian,half_siblings,identifiler_15,0.7797,0.7797,0.7797,0.7797,220000
Asian,half_siblings,supplementary,0.683168181818182,0.683168181818182,0.683168181818182,0.683168181818182,220000
Asian,parent_child,autosomal_29,0.515059090909091,0.515059090909091,0.515059090909091,0.515059090909091,220000
Asian,parent_child,core_13,0.827004545454546,0.827004545454546,0.827004545454546,0.827004545454546,220000
Asian,parent_child,expanded_20,0.729359090909091,0.729359090909091,0.729359090909091,0.729359090909091,220000
Asian,parent_child,identifiler_15,0.806045454545455,0.806045454545455,0.806045454545455,0.806045454545455,220000
Asian,parent_child,supplementary,0.575936363636364,0.575936363636364,0.575936363636364,0.575936363636364,220000
Asian,second_cousins,autosomal_29,0.659722727272727,0.659722727272727,0.659722727272727,0.659722727272727,220000
Asian,second_cousins,core_13,0.566663636363636,0.566663636363636,0.566663636363636,0.566663636363636,220000
Asian,second_cousins,expanded_20,0.593245454545455,0.593245454545455,0.593245454545455,0.593245454545455,220000
Asian,second_cousins,identifiler_15,0.580627272727273,0.580627272727273,0.580627272727273,0.580627272727273,220000
Asian,second_cousins,supplementary,0.563363636363636,0.563363636363636,0.563363636363636,0.563363636363636,220000
Cauc,cousins,autosomal_29,0.685213636363636,0.685213636363636,0.685213636363636,0.685213636363636,220000
Cauc,cousins,core_13,0.579018181818182,0.579018181818182,0.579018181818182,0.579018181818182,220000
Cauc,cousins,expanded_20,0.63385,0.63385,0.63385,0.63385,220000
Cauc,cousins,identifiler_15,0.595522727272727,0.595522727272727,0.595522727272727,0.595522727272727,220000
Cauc,cousins,supplementary,0.650563636363636,0.650563636363636,0.650563636363636,0.650563636363636,220000
Cauc,full_siblings,autosomal_29,0.793681818181818,0.793681818181818,0.793681818181818,0.793681818181818,220000
Cauc,full_siblings,core_13,0.882418181818182,0.882418181818182,0.882418181818182,0.882418181818182,220000
