"population","relationship_type","sim_id","loci_set","combined_LR"
"AfAm","cousins",1,"core_13",1.77189238481949
"AfAm","cousins",1,"identifiler_15",1.82336461078695
"AfAm","cousins",1,"expanded_20",2.1512709299877
"AfAm","cousins",1,"supplementary",1.84585073060637
"AfAm","cousins",1,"autosomal_29",1.86590345898216
"AfAm","cousins",2,"core_13",1.00528203590151
"AfAm","cousins",2,"identifiler_15",1.1115220692411
"AfAm","cousins",2,"expanded_20",2.12974652211082
"AfAm","cousins",2,"supplementary",2.6454430527839
"AfAm","cousins",2,"autosomal_29",3.05745149116873
"AfAm","full_siblings",1,"core_13",55080.2785634927
"AfAm","full_siblings",1,"identifiler_15",15967.4211793104
"AfAm","full_siblings",1,"expanded_20",91184.5385226897
"AfAm","full_siblings",1,"supplementary",6561449.9605418
"AfAm","full_siblings",1,"autosomal_29",514379237.33799
"AfAm","full_siblings",2,"core_13",8568486.66813186
"AfAm","full_siblings",2,"identifiler_15",181386990.220437
"AfAm","full_siblings",2,"expanded_20",123523375947.788
"AfAm","full_siblings",2,"supplementary",3605044038299.58
"AfAm","full_siblings",2,"autosomal_29",2062693408017.04
"AfAm","half_siblings",1,"core_13",1.70939602794712
"AfAm","half_siblings",1,"identifiler_15",3.73930381113433
"AfAm","half_siblings",1,"expanded_20",25.11472406168
"AfAm","half_siblings",1,"supplementary",119.078433051069
"AfAm","half_siblings",1,"autosomal_29",1591.66458325934
"AfAm","half_siblings",2,"core_13",14.1874823787547
"AfAm","half_siblings",2,"identifiler_15",7.75877942588148
"AfAm","half_siblings",2,"expanded_20",833.060032715155
"AfAm","half_siblings",2,"supplementary",19727.2116532988
"AfAm","half_siblings",2,"autosomal_29",520845.011217057
"AfAm","parent_child",1,"core_13",2572.39848585291
"AfAm","parent_child",1,"identifiler_15",11233.498226527
"AfAm","parent_child",1,"expanded_20",377636.651816753
"AfAm","parent_child",1,"supplementary",42047830.3271683
"AfAm","parent_child",1,"autosomal_29",1234557120.05637
"AfAm","parent_child",2,"core_13",521.284320445553
"AfAm","parent_child",2,"identifiler_15",4456.98093980948
"AfAm","parent_child",2,"expanded_20",309002.77163975
"AfAm","parent_child",2,"supplementary",45595710.9109399
"AfAm","parent_child",2,"autosomal_29",106232659491.939
"AfAm","second_cousins",1,"core_13",1.50025591628076
"AfAm","second_cousins",1,"identifiler_15",1.31858430141863
"AfAm","second_cousins",1,"expanded_20",1.38830979443034
"AfAm","second_cousins",1,"supplementary",1.32015938588631
"AfAm","second_cousins",1,"autosomal_29",1.31094680581344
"AfAm","second_cousins",2,"core_13",0.76019494379064
"AfAm","second_cousins",2,"identifiler_15",0.668140087315992
"AfAm","second_cousins",2,"expanded_20",0.522438495393111
"AfAm","second_cousins",2,"supplementary",0.490322726247777
"AfAm","second_cousins",2,"autosomal_29",0.583477550435702
"AfAm","unrelated",1,"core_13",1
"AfAm","unrelated",1,"identifiler_15",1
"AfAm","unrelated",1,"expanded_20",1
"AfAm","unrelated",1,"supplementary",1
"AfAm","unrelated",1,"autosomal_29",1
"AfAm","unrelated",2,"core_13",1
"AfAm","unrelated",2,"identifiler_15",1
"AfAm","unrelated",2,"expanded_20",1
"AfAm","unrelated",2,"supplementary",1
"AfAm","unrelated",2,"autosomal_29",1
"AfAm","unrelated",3,"core_13",1
"AfAm","unrelated",3,"identifiler_15",1
"AfAm","unrelated",3,"expanded_20",1
"AfAm","unrelated",3,"supplementary",1
"AfAm","unrelated",3,"autosomal_29",1
"AfAm","unrelated",4,"core_13",1
"AfAm","unrelated",4,"identifiler_15",1
"AfAm","unrelated",4,"expanded_20",1
"AfAm","unrelated",4,"supplementary",1
"AfAm","unrelated",4,"autosomal_29",1
"AfAm","unrelated",5,"core_13",1
"AfAm","unrelated",5,"identifiler_15",1
"AfAm","unrelated",5,"expanded_20",1
"AfAm","unrelated",5,"supplementary",1
"AfAm","unrelated",5,"autosomal_29",1
"Asian","cousins",1,"core_13",0.5685585970296
"Asian","cousins",1,"identifiler_15",0.904987696660482
"Asian","cousins",1,"expanded_20",1.00137422934432
"Asian","cousins",1,"supplementary",Inf
"Asian","cousins",1,"autosomal_29",Inf
"Asian","cousins",2,"core_13",3.11816930400092
"Asian","cousins",2,"identifiler_15",2.92092623562788
"Asian","cousins",2,"expanded_20",4.42990885750622
"Asian","cousins",2,"supplementary",19.8053481330768
"Asian","cousins",2,"autosomal_29",113.15356762155
"Asian","full_siblings",1,"core_13",Inf
"Asian","full_siblings",1,"identifiler_15",Inf
"Asian","full_siblings",1,"expanded_20",Inf
"Asian","full_siblings",1,"supplementary",Inf
"Asian","full_siblings",1,"autosomal_29",Inf
