"population","relationship_type","sim_id","loci_set","LR"
"all","parent_child",1,"core_13",132909.50731146
"all","parent_child",2,"core_13",2971802.21019836
"all","parent_child",3,"core_13",50187.7307745072
"all","parent_child",4,"core_13",9281.46602285007
"all","parent_child",5,"core_13",12604.5370871988
"all","parent_child",6,"core_13",3441.49223366123
"all","parent_child",7,"core_13",310757.673888657
"all","parent_child",8,"core_13",473.023288591067
"all","parent_child",9,"core_13",2906.00286936521
"all","parent_child",10,"core_13",274394.432740201
"all","full_siblings",1,"core_13",36088.0628085121
"all","full_siblings",2,"core_13",1435.11626686058
"all","full_siblings",3,"core_13",51.2705520192383
"all","full_siblings",4,"core_13",2039.46105564521
"all","full_siblings",5,"core_13",16.9429041128877
"all","full_siblings",6,"core_13",11462.4414701502
"all","full_siblings",7,"core_13",19.37819816581
"all","full_siblings",8,"core_13",102.285717153762
"all","full_siblings",9,"core_13",322.575442580282
"all","full_siblings",10,"core_13",45533.5495405629
"all","half_siblings",1,"core_13",35.7575018860154
"all","half_siblings",2,"core_13",13.2405883883386
"all","half_siblings",3,"core_13",2480.55926749973
"all","half_siblings",4,"core_13",9.04392615016001
"all","half_siblings",5,"core_13",11.8205455531695
"all","half_siblings",6,"core_13",216.713511373551
"all","half_siblings",7,"core_13",0.105216638101083
"all","half_siblings",8,"core_13",0.538195516578869
"all","half_siblings",9,"core_13",0.524057581680991
"all","half_siblings",10,"core_13",11.2687378121389
"all","cousins",1,"core_13",0.399842641566609
"all","cousins",2,"core_13",1.17596448733206
"all","cousins",3,"core_13",2.18321323297513
"all","cousins",4,"core_13",2.4851090217521
"all","cousins",5,"core_13",2.13336917839555
"all","cousins",6,"core_13",2.94518856718101
"all","cousins",7,"core_13",0.567739523028066
"all","cousins",8,"core_13",2.04717674095884
"all","cousins",9,"core_13",0.851621163913434
"all","cousins",10,"core_13",1.40900653694239
"all","second_cousins",1,"core_13",0.720201274094257
"all","second_cousins",2,"core_13",0.861398721946046
"all","second_cousins",3,"core_13",0.783077284216187
"all","second_cousins",4,"core_13",1.85500756096342
"all","second_cousins",5,"core_13",0.987300206337452
"all","second_cousins",6,"core_13",0.868819586140927
"all","second_cousins",7,"core_13",1.16448574001455
"all","second_cousins",8,"core_13",0.661502926369264
"all","second_cousins",9,"core_13",0.918177258951409
"all","second_cousins",10,"core_13",1.09398443624437
"all","unrelated",1,"core_13",1
"all","unrelated",2,"core_13",1
"all","unrelated",3,"core_13",1
"all","unrelated",4,"core_13",1
"all","unrelated",5,"core_13",1
"all","unrelated",6,"core_13",1
"all","unrelated",7,"core_13",1
"all","unrelated",8,"core_13",1
"all","unrelated",9,"core_13",1
"all","unrelated",10,"core_13",1
"all","unrelated",11,"core_13",1
"all","unrelated",12,"core_13",1
"all","unrelated",13,"core_13",1
"all","unrelated",14,"core_13",1
"all","unrelated",15,"core_13",1
"all","unrelated",16,"core_13",1
"all","unrelated",17,"core_13",1
"all","unrelated",18,"core_13",1
"all","unrelated",19,"core_13",1
"all","unrelated",20,"core_13",1
"all","unrelated",21,"core_13",1
"all","unrelated",22,"core_13",1
"all","unrelated",23,"core_13",1
"all","unrelated",24,"core_13",1
"all","unrelated",25,"core_13",1
"all","unrelated",26,"core_13",1
"all","unrelated",27,"core_13",1
"all","unrelated",28,"core_13",1
"all","unrelated",29,"core_13",1
"all","unrelated",30,"core_13",1
"all","unrelated",31,"core_13",1
"all","unrelated",32,"core_13",1
"all","unrelated",33,"core_13",1
"all","unrelated",34,"core_13",1
"all","unrelated",35,"core_13",1
"all","unrelated",36,"core_13",1
"all","unrelated",37,"core_13",1
"all","unrelated",38,"core_13",1
"all","unrelated",39,"core_13",1
"all","unrelated",40,"core_13",1
"all","unrelated",41,"core_13",1
"all","unrelated",42,"core_13",1
"all","unrelated",43,"core_13",1
"all","unrelated",44,"core_13",1
"all","unrelated",45,"core_13",1
"all","unrelated",46,"core_13",1
"all","unrelated",47,"core_13",1
"all","unrelated",48,"core_13",1
"all","unrelated",49,"core_13",1
"all","unrelated",50,"core_13",1
"all","unrelated",51,"core_13",1
"all","unrelated",52,"core_13",1
"all","unrelated",53,"core_13",1
"all","unrelated",54,"core_13",1
"all","unrelated",55,"core_13",1
"all","unrelated",56,"core_13",1
"all","unrelated",57,"core_13",1
"all","unrelated",58,"core_13",1
"all","unrelated",59,"core_13",1
"all","unrelated",60,"core_13",1
"all","unrelated",61,"core_13",1
"all","unrelated",62,"core_13",1
"all","unrelated",63,"core_13",1
"all","unrelated",64,"core_13",1
"all","unrelated",65,"core_13",1
"all","unrelated",66,"core_13",1
"all","unrelated",67,"core_13",1
"all","unrelated",68,"core_13",1
"all","unrelated",69,"core_13",1
"all","unrelated",70,"core_13",1
"all","unrelated",71,"core_13",1
"all","unrelated",72,"core_13",1
"all","unrelated",73,"core_13",1
"all","unrelated",74,"core_13",1
"all","unrelated",75,"core_13",1
"all","unrelated",76,"core_13",1
"all","unrelated",77,"core_13",1
"all","unrelated",78,"core_13",1
"all","unrelated",79,"core_13",1
"all","unrelated",80,"core_13",1
"all","unrelated",81,"core_13",1
"all","unrelated",82,"core_13",1
"all","unrelated",83,"core_13",1
"all","unrelated",84,"core_13",1
"all","unrelated",85,"core_13",1
"all","unrelated",86,"core_13",1
"all","unrelated",87,"core_13",1
"all","unrelated",88,"core_13",1
"all","unrelated",89,"core_13",1
"all","unrelated",90,"core_13",1
"all","unrelated",91,"core_13",1
"all","unrelated",92,"core_13",1
"all","unrelated",93,"core_13",1
"all","unrelated",94,"core_13",1
"all","unrelated",95,"core_13",1
"all","unrelated",96,"core_13",1
"all","unrelated",97,"core_13",1
"all","unrelated",98,"core_13",1
"all","unrelated",99,"core_13",1
"all","unrelated",100,"core_13",1
"AfAm","parent_child",1,"core_13",469271.060536601
"AfAm","parent_child",2,"core_13",11862.7855219225
"AfAm","parent_child",3,"core_13",12177.442575062
"AfAm","parent_child",4,"core_13",9656.37673718446
"AfAm","parent_child",5,"core_13",3803.60860529032
"AfAm","parent_child",6,"core_13",106.411901838197
"AfAm","parent_child",7,"core_13",1968321.92397399
"AfAm","parent_child",8,"core_13",1400.61333649848
"AfAm","parent_child",9,"core_13",1350.64929842857
"AfAm","parent_child",10,"core_13",6494.69620594564
"AfAm","full_siblings",1,"core_13",103.40634069859
"AfAm","full_siblings",2,"core_13",132.74093371891
"AfAm","full_siblings",3,"core_13",28113021.2673769
"AfAm","full_siblings",4,"core_13",9520099.04414151
"AfAm","full_siblings",5,"core_13",22878.5247318779
"AfAm","full_siblings",6,"core_13",422.589298393713
"AfAm","full_siblings",7,"core_13",120604.827139078
"AfAm","full_siblings",8,"core_13",199.018698866531
"AfAm","full_siblings",9,"core_13",1008.20124087158
"AfAm","full_siblings",10,"core_13",18.7766054471495
"AfAm","half_siblings",1,"core_13",22.614329664299
"AfAm","half_siblings",2,"core_13",0.835320495347138
"AfAm","half_siblings",3,"core_13",2.75830491007433
"AfAm","half_siblings",4,"core_13",1.60953679878527
"AfAm","half_siblings",5,"core_13",6.75700161956247
"AfAm","half_siblings",6,"core_13",2.73861536519819
"AfAm","half_siblings",7,"core_13",104.444407487639
"AfAm","half_siblings",8,"core_13",0.0621906857044299
"AfAm","half_siblings",9,"core_13",90.2544980969093
"AfAm","half_siblings",10,"core_13",3.11858197461964
"AfAm","cousins",1,"core_13",1.96094429529402
"AfAm","cousins",2,"core_13",0.714108285660649
"AfAm","cousins",3,"core_13",0.605572586143837
"AfAm","cousins",4,"core_13",1.01822619841475
"AfAm","cousins",5,"core_13",0.854663233951833
"AfAm","cousins",6,"core_13",5.64918046031703
"AfAm","cousins",7,"core_13",0.302593609910852
"AfAm","cousins",8,"core_13",0.898393724073557
"AfAm","cousins",9,"core_13",2.29776765975014
"AfAm","cousins",10,"core_13",0.638733537823767
"AfAm","second_cousins",1,"core_13",0.874679138775422
"AfAm","second_cousins",2,"core_13",1.45100836264113
"AfAm","second_cousins",3,"core_13",1.19861007031406
"AfAm","second_cousins",4,"core_13",0.879746159967979
"AfAm","second_cousins",5,"core_13",10.6161095741055
"AfAm","second_cousins",6,"core_13",1.20756444223881
"AfAm","second_cousins",7,"core_13",1.53742303552594
"AfAm","second_cousins",8,"core_13",1.01205920845487
"AfAm","second_cousins",9,"core_13",1.13654205922247
"AfAm","second_cousins",10,"core_13",1.25704724441211
"AfAm","unrelated",1,"core_13",1
"AfAm","unrelated",2,"core_13",1
"AfAm","unrelated",3,"core_13",1
"AfAm","unrelated",4,"core_13",1
"AfAm","unrelated",5,"core_13",1
"AfAm","unrelated",6,"core_13",1
"AfAm","unrelated",7,"core_13",1
"AfAm","unrelated",8,"core_13",1
"AfAm","unrelated",9,"core_13",1
"AfAm","unrelated",10,"core_13",1
"AfAm","unrelated",11,"core_13",1
"AfAm","unrelated",12,"core_13",1
"AfAm","unrelated",13,"core_13",1
"AfAm","unrelated",14,"core_13",1
"AfAm","unrelated",15,"core_13",1
"AfAm","unrelated",16,"core_13",1
"AfAm","unrelated",17,"core_13",1
"AfAm","unrelated",18,"core_13",1
"AfAm","unrelated",19,"core_13",1
"AfAm","unrelated",20,"core_13",1
"AfAm","unrelated",21,"core_13",1
"AfAm","unrelated",22,"core_13",1
"AfAm","unrelated",23,"core_13",1
"AfAm","unrelated",24,"core_13",1
"AfAm","unrelated",25,"core_13",1
"AfAm","unrelated",26,"core_13",1
"AfAm","unrelated",27,"core_13",1
"AfAm","unrelated",28,"core_13",1
"AfAm","unrelated",29,"core_13",1
"AfAm","unrelated",30,"core_13",1
"AfAm","unrelated",31,"core_13",1
"AfAm","unrelated",32,"core_13",1
"AfAm","unrelated",33,"core_13",1
"AfAm","unrelated",34,"core_13",1
"AfAm","unrelated",35,"core_13",1
"AfAm","unrelated",36,"core_13",1
"AfAm","unrelated",37,"core_13",1
"AfAm","unrelated",38,"core_13",1
"AfAm","unrelated",39,"core_13",1
"AfAm","unrelated",40,"core_13",1
"AfAm","unrelated",41,"core_13",1
"AfAm","unrelated",42,"core_13",1
"AfAm","unrelated",43,"core_13",1
"AfAm","unrelated",44,"core_13",1
"AfAm","unrelated",45,"core_13",1
"AfAm","unrelated",46,"core_13",1
"AfAm","unrelated",47,"core_13",1
"AfAm","unrelated",48,"core_13",1
"AfAm","unrelated",49,"core_13",1
"AfAm","unrelated",50,"core_13",1
"AfAm","unrelated",51,"core_13",1
"AfAm","unrelated",52,"core_13",1
"AfAm","unrelated",53,"core_13",1
"AfAm","unrelated",54,"core_13",1
"AfAm","unrelated",55,"core_13",1
"AfAm","unrelated",56,"core_13",1
"AfAm","unrelated",57,"core_13",1
"AfAm","unrelated",58,"core_13",1
"AfAm","unrelated",59,"core_13",1
"AfAm","unrelated",60,"core_13",1
"AfAm","unrelated",61,"core_13",1
"AfAm","unrelated",62,"core_13",1
"AfAm","unrelated",63,"core_13",1
"AfAm","unrelated",64,"core_13",1
"AfAm","unrelated",65,"core_13",1
"AfAm","unrelated",66,"core_13",1
"AfAm","unrelated",67,"core_13",1
"AfAm","unrelated",68,"core_13",1
"AfAm","unrelated",69,"core_13",1
"AfAm","unrelated",70,"core_13",1
"AfAm","unrelated",71,"core_13",1
"AfAm","unrelated",72,"core_13",1
"AfAm","unrelated",73,"core_13",1
"AfAm","unrelated",74,"core_13",1
"AfAm","unrelated",75,"core_13",1
"AfAm","unrelated",76,"core_13",1
"AfAm","unrelated",77,"core_13",1
"AfAm","unrelated",78,"core_13",1
"AfAm","unrelated",79,"core_13",1
"AfAm","unrelated",80,"core_13",1
"AfAm","unrelated",81,"core_13",1
"AfAm","unrelated",82,"core_13",1
"AfAm","unrelated",83,"core_13",1
"AfAm","unrelated",84,"core_13",1
"AfAm","unrelated",85,"core_13",1
"AfAm","unrelated",86,"core_13",1
"AfAm","unrelated",87,"core_13",1
"AfAm","unrelated",88,"core_13",1
"AfAm","unrelated",89,"core_13",1
"AfAm","unrelated",90,"core_13",1
"AfAm","unrelated",91,"core_13",1
"AfAm","unrelated",92,"core_13",1
"AfAm","unrelated",93,"core_13",1
"AfAm","unrelated",94,"core_13",1
"AfAm","unrelated",95,"core_13",1
"AfAm","unrelated",96,"core_13",1
"AfAm","unrelated",97,"core_13",1
"AfAm","unrelated",98,"core_13",1
"AfAm","unrelated",99,"core_13",1
"AfAm","unrelated",100,"core_13",1
"Cauc","parent_child",1,"core_13",1271.50151106379
"Cauc","parent_child",2,"core_13",50461.9417648732
"Cauc","parent_child",3,"core_13",775.471340232136
"Cauc","parent_child",4,"core_13",1693.44821018251
"Cauc","parent_child",5,"core_13",830912.733718426
"Cauc","parent_child",6,"core_13",170.902631623951
"Cauc","parent_child",7,"core_13",74774.8336743645
"Cauc","parent_child",8,"core_13",2986.2077551391
"Cauc","parent_child",9,"core_13",408978.417292806
"Cauc","parent_child",10,"core_13",6843.05930349399
"Cauc","full_siblings",1,"core_13",219.105883922468
"Cauc","full_siblings",2,"core_13",8.85069705635871
"Cauc","full_siblings",3,"core_13",11.6003877859723
"Cauc","full_siblings",4,"core_13",40.8160988805126
"Cauc","full_siblings",5,"core_13",828.8470120703
"Cauc","full_siblings",6,"core_13",98.2459697433795
"Cauc","full_siblings",7,"core_13",467.129163438395
"Cauc","full_siblings",8,"core_13",1097.99980090367
"Cauc","full_siblings",9,"core_13",6019.23451890254
"Cauc","full_siblings",10,"core_13",23.2262162021934
"Cauc","half_siblings",1,"core_13",26.1679790470874
"Cauc","half_siblings",2,"core_13",14.0500116222638
"Cauc","half_siblings",3,"core_13",0.434973720601606
"Cauc","half_siblings",4,"core_13",30.3667472457138
"Cauc","half_siblings",5,"core_13",4.3777245262764
"Cauc","half_siblings",6,"core_13",1152.45803206121
"Cauc","half_siblings",7,"core_13",9.52536850032802
"Cauc","half_siblings",8,"core_13",0.116073241637966
"Cauc","half_siblings",9,"core_13",46.8412347582289
"Cauc","half_siblings",10,"core_13",1.93432187717882
