"population","relationship_type","sim_id","locus","loci_set","combined_LR"
"all","parent_child",1,"CSF1PO","core_13",1.99050332383666
"all","parent_child",1,"D10S1248","core_13",1
"all","parent_child",1,"D12S391","core_13",1
"all","parent_child",1,"D13S317","core_13",0.819620253164557
"all","parent_child",1,"D16S539","core_13",1.82394366197183
"all","parent_child",1,"D18S51","core_13",1.4971098265896
"all","parent_child",1,"D19S433","core_13",1
"all","parent_child",1,"D1S1656","core_13",1
"all","parent_child",1,"D21S11","core_13",5.48148148148148
"all","parent_child",1,"D22S1045","core_13",1
"all","parent_child",1,"D2S1338","core_13",1
"all","parent_child",1,"D2S441","core_13",1
"all","parent_child",1,"D3S1358","core_13",1.7679180887372
"all","parent_child",1,"D5S818","core_13",3.21739130434783
"all","parent_child",1,"D6S1043","core_13",1
"all","parent_child",1,"D7S820","core_13",1.69558101472995
"all","parent_child",1,"D8S1179","core_13",1.86330935251799
"all","parent_child",1,"F13A01","core_13",1
"all","parent_child",1,"F13B","core_13",1
"all","parent_child",1,"FESFPS","core_13",1
"all","parent_child",1,"FGA","core_13",3.64788732394366
"all","parent_child",1,"LPL","core_13",1
"all","parent_child",1,"Penta_C","core_13",1
"all","parent_child",1,"Penta_D","core_13",1
"all","parent_child",1,"Penta_E","core_13",1
"all","parent_child",1,"SE33","core_13",1
"all","parent_child",1,"TH01","core_13",1
"all","parent_child",1,"TPOX","core_13",1.07253886010363
"all","parent_child",1,"vWA","core_13",6.35582822085889
"all","parent_child",2,"CSF1PO","core_13",0.913580246913579
"all","parent_child",2,"D10S1248","core_13",1
"all","parent_child",2,"D12S391","core_13",1
"all","parent_child",2,"D13S317","core_13",2.149377593361
"all","parent_child",2,"D16S539","core_13",1.82394366197183
"all","parent_child",2,"D18S51","core_13",28.7777777777778
"all","parent_child",2,"D19S433","core_13",1
"all","parent_child",2,"D1S1656","core_13",1
"all","parent_child",2,"D21S11","core_13",7.61764705882353
"all","parent_child",2,"D22S1045","core_13",1
"all","parent_child",2,"D2S1338","core_13",1
"all","parent_child",2,"D2S441","core_13",1
"all","parent_child",2,"D3S1358","core_13",1.70487822027985
"all","parent_child",2,"D5S818","core_13",1.41530054644809
"all","parent_child",2,"D6S1043","core_13",1
"all","parent_child",2,"D7S820","core_13",0.847790507364975
"all","parent_child",2,"D8S1179","core_13",0.931654676258994
"all","parent_child",2,"F13A01","core_13",1
"all","parent_child",2,"F13B","core_13",1
"all","parent_child",2,"FESFPS","core_13",1
"all","parent_child",2,"FGA","core_13",1.82394366197183
"all","parent_child",2,"LPL","core_13",1
"all","parent_child",2,"Penta_C","core_13",1
"all","parent_child",2,"Penta_D","core_13",1
"all","parent_child",2,"Penta_E","core_13",1
"all","parent_child",2,"SE33","core_13",1
"all","parent_child",2,"TH01","core_13",1
"all","parent_child",2,"TPOX","core_13",1.55899670277909
"all","parent_child",2,"vWA","core_13",2.17190775681342
"all","full_siblings",1,"CSF1PO","core_13",0.97549019607843
"all","full_siblings",1,"D10S1248","core_13",1
"all","full_siblings",1,"D12S391","core_13",1
"all","full_siblings",1,"D13S317","core_13",1.11046511627907
"all","full_siblings",1,"D16S539","core_13",1.40625
"all","full_siblings",1,"D18S51","core_13",4.32874015748031
"all","full_siblings",1,"D19S433","core_13",1
"all","full_siblings",1,"D1S1656","core_13",1
"all","full_siblings",1,"D21S11","core_13",1.47458628841608
"all","full_siblings",1,"D22S1045","core_13",1
"all","full_siblings",1,"D2S1338","core_13",1
