"State","SDIS.prop.black","SDIS.prop.white","SDIS.num.black","SDIS.num.white","CODIS.total","Category"
"Alabama",0.371,0.621,133560,223560,360000,"SDIS+NDIS"
"Alaska",0.027,0.561,2137,44401,79146,"SDIS+NDIS"
"Arizona",0.049,0.54,23514,259129,479868,"NDIS only"
"Arkansas",0.252,0.741,3080,9056,12221,"SDIS+NDIS"
"California",0.171,0.296,575484,996159,3365402,"Murphy and Tong"
"Colorado",0.062,0.58,30949,289519,499170,"SDIS+NDIS"
"Connecticut",0.404,0.412,8080,8240,20000,"SDIS+NDIS"
"Delaware",0.414,0.579,9399,13146,22704,"NDIS only"
"Florida",0.352,0.614,603289,1052328,1713890,"Murphy and Tong"
"Georgia",0.487,0.497,169060,172531,347145,"SDIS+NDIS"
"Hawaii",0.018,0.32,751,13345,41703,"NDIS only"
"Idaho",0.005,0.886,195,34554,39000,"SDIS+NDIS"
"Illinois",0.509,0.451,350852,310873,689297,"SDIS+NDIS"
"Indiana",0.26,0.7,116740,314300,449000,"Murphy and Tong"
"Iowa",0.16,0.813,24764,125834,154777,"NDIS only"
"Kansas",0.159,0.835,37754,198267,237445,"NDIS only"
"Kentucky",0.11,0.885,26520,213364,241089,"NDIS only"
"Louisiana",0.518,0.472,362402,330220,699618,"SDIS+NDIS"
"Maine",0.039,0.928,1467,34915,37624,"Murphy and Tong"
"Maryland",0.648,0.333,95776,49218,147803,"SDIS+NDIS"
"Massachusetts",0.209,0.582,34313,95550,164175,"NDIS only"
"Michigan",0.366,0.626,213259,364754,582674,"NDIS only"
"Minnesota",0.267,0.702,48060,126360,180000,"SDIS+NDIS"
"Mississippi",0.477,0.51,56286,60180,118000,"SDIS+NDIS"
"Missouri",0.188,0.805,75200,322000,400000,"SDIS+NDIS"
"Montana",0.005,0.877,161,28313,32284,"SDIS+NDIS"
"Nebraska",0.2,0.688,11613,39949,58065,"NDIS only"
"Nevada",0.256,0.694,62720,170030,245000,"Murphy and Tong"
"New Hampshire",0.032,0.923,607,17518,18979,"NDIS only"
"New Jersey",0.618,0.335,20206,10953,32696,"SDIS+NDIS"
"New Mexico",0.046,0.9,6522,127598,141776,"NDIS only"
"New York",0.499,0.347,359666,250109,720774,"NDIS only"
"North Carolina",0.411,0.567,143850,198450,350000,"SDIS+NDIS"
"North Dakota",0.026,0.747,1323,38007,50880,"NDIS only"
"Ohio",0.291,0.7,261652,629404,899148,"NDIS only"
"Oklahoma",0.22,0.692,45274,142407,205791,"NDIS only"
"Oregon",0.029,0.867,6797,203201,234373,"NDIS only"
"Pennsylvania",0.374,0.597,177410,283192,474358,"NDIS only"
"Rhode Island",0.38,0.358,10571,9959,27818,"SDIS+NDIS"
"South Carolina",0.457,0.533,80262,93610,175629,"SDIS+NDIS"
"South Dakota",0.06,0.667,3372,37485,56200,"Murphy and Tong"
"Tennessee",0.255,0.739,132247,383256,518614,"SDIS+NDIS"
"Texas",0.291,0.373,353163,452680,1213618,"Murphy and Tong"
"Utah",0.017,0.789,2515,116722,147937,"NDIS only"
"Vermont",0.059,0.927,1324,20798,22436,"NDIS only"
"Virginia",0.439,0.55,223455,279955,509009,"SDIS+NDIS"
"Washington",0.116,0.85,31552,231200,272000,"SDIS+NDIS"
"West Virginia",0.068,0.929,3226,44075,47444,"SDIS+NDIS"
"Wisconsin",0.279,0.71,109131,277717,391151,"NDIS only"
"Wyoming",0.009,0.882,293,28711,32552,"NDIS only"
