"Model","sib_counts","n_counts","prob"
"Poisson",0,4015,0.0794153134086279
"Poisson",1,10044,0.198666851276777
"Poisson",2,13299,0.26304962715351
"Poisson",3,10564,0.208952271693336
"Poisson",4,6910,0.136677413612358
"Poisson",5,3660,0.0723935360088613
"Poisson",6,1316,0.0260300255157545
"Poisson",7,520,0.0102854204165595
"Poisson",8,198,0.00391637162015151
"Poisson",9,20,0.000395593092944597
"Poisson",10,11,0.000217576201119528
"ZINB",0,3953,0.0796558255753033
"ZINB",1,7926,0.159714665699432
"ZINB",2,9396,0.189336235038085
"ZINB",3,8692,0.175150122919437
"ZINB",4,6835,0.137730222061016
"ZINB",5,5112,0.103010518679724
"ZINB",6,3129,0.0630516261637045
"ZINB",7,2008,0.0404626607020513
"ZINB",8,1188,0.0239390642002176
"ZINB",9,660,0.013299480111232
"ZINB",10,385,0.00775803006488534
"ZINB",11,168,0.00338532221013179
"ZINB",12,174,0.00350622657477935
