population,relationship_type,loci_set,proportion_exceeding_fixed,proportion_exceeding_1,proportion_exceeding_0_1,proportion_exceeding_0_01
AfAm,cousins,core_13,0.6,0.6,0.6,0.6
AfAm,cousins,identifiler_15,0.6,0.6,0.6,0.6
AfAm,cousins,expanded_20,0.6,0.6,0.6,0.6
AfAm,cousins,supplementary,0.6,0.6,0.6,0.6
AfAm,cousins,autosomal_29,0.4,0.4,0.4,0.4
AfAm,full_siblings,core_13,1,1,1,1
AfAm,full_siblings,identifiler_15,1,1,1,1
AfAm,full_siblings,expanded_20,1,1,1,1
AfAm,full_siblings,supplementary,1,1,1,1
AfAm,full_siblings,autosomal_29,1,1,1,1
AfAm,half_siblings,core_13,1,1,1,1
AfAm,half_siblings,identifiler_15,1,1,1,1
AfAm,half_siblings,expanded_20,1,1,1,1
AfAm,half_siblings,supplementary,1,1,1,1
AfAm,half_siblings,autosomal_29,1,1,1,1
AfAm,parent_child,core_13,1,1,1,1
AfAm,parent_child,identifiler_15,1,1,1,1
AfAm,parent_child,expanded_20,1,1,1,1
AfAm,parent_child,supplementary,1,1,1,1
AfAm,parent_child,autosomal_29,1,1,1,1
AfAm,second_cousins,core_13,0,0,0,0
AfAm,second_cousins,identifiler_15,0,0,0,0
AfAm,second_cousins,expanded_20,0,0,0,0
AfAm,second_cousins,supplementary,0,0,0,0
AfAm,second_cousins,autosomal_29,0.2,0.2,0.2,0.2
all,cousins,core_13,0.6,0.6,0.6,0.6
all,cousins,identifiler_15,0.4,0.4,0.4,0.4
all,cousins,expanded_20,0.8,0.8,0.8,0.8
all,cousins,supplementary,0.4,0.4,0.4,0.4
all,cousins,autosomal_29,0.4,0.4,0.4,0.4
all,full_siblings,core_13,1,1,1,1
all,full_siblings,identifiler_15,1,1,1,1
all,full_siblings,expanded_20,1,1,1,1
all,full_siblings,supplementary,1,1,1,1
all,full_siblings,autosomal_29,1,1,1,1
all,half_siblings,core_13,0.8,0.8,0.8,0.8
all,half_siblings,identifiler_15,0.8,0.8,0.8,0.8
all,half_siblings,expanded_20,0.8,0.8,0.8,0.8
all,half_siblings,supplementary,0.8,0.8,0.8,0.8
all,half_siblings,autosomal_29,0.8,0.8,0.8,0.8
all,parent_child,core_13,1,1,1,1
all,parent_child,identifiler_15,1,1,1,1
all,parent_child,expanded_20,1,1,1,1
all,parent_child,supplementary,1,1,1,1
all,parent_child,autosomal_29,1,1,1,1
all,second_cousins,core_13,0.4,0.4,0.4,0.4
all,second_cousins,identifiler_15,0.6,0.6,0.6,0.6
all,second_cousins,expanded_20,0.8,0.8,0.8,0.8
all,second_cousins,supplementary,0.6,0.6,0.6,0.6
all,second_cousins,autosomal_29,0.8,0.8,0.8,0.8
Asian,cousins,core_13,0.4,0.4,0.4,0.4
Asian,cousins,identifiler_15,0.4,0.4,0.4,0.4
Asian,cousins,expanded_20,0.4,0.4,0.4,0.4
Asian,cousins,supplementary,0.6,0.6,0.6,0.6
Asian,cousins,autosomal_29,0.6,0.6,0.6,0.6
Asian,full_siblings,core_13,1,1,1,1
Asian,full_siblings,identifiler_15,1,1,1,1
Asian,full_siblings,expanded_20,1,1,1,1
Asian,full_siblings,supplementary,1,1,1,1
Asian,full_siblings,autosomal_29,1,1,1,1
Asian,half_siblings,core_13,0.8,0.8,0.8,0.8
Asian,half_siblings,identifiler_15,0.6,0.6,0.6,0.6
Asian,half_siblings,expanded_20,1,1,1,1
Asian,half_siblings,supplementary,1,1,1,1
Asian,half_siblings,autosomal_29,1,1,1,1
Asian,parent_child,core_13,1,1,1,1
Asian,parent_child,identifiler_15,1,1,1,1
Asian,parent_child,expanded_20,1,1,1,1
Asian,parent_child,supplementary,1,1,1,1
Asian,parent_child,autosomal_29,1,1,1,1
Asian,second_cousins,core_13,0.6,0.6,0.6,0.6
Asian,second_cousins,identifiler_15,0.6,0.6,0.6,0.6
Asian,second_cousins,expanded_20,0.4,0.4,0.4,0.4
Asian,second_cousins,supplementary,0.4,0.4,0.4,0.4
Asian,second_cousins,autosomal_29,0.8,0.8,0.8,0.8
Cauc,cousins,core_13,0.4,0.4,0.4,0.4
Cauc,cousins,identifiler_15,0.2,0.2,0.2,0.2
Cauc,cousins,expanded_20,0.8,0.8,0.8,0.8
Cauc,cousins,supplementary,0.8,0.8,0.8,0.8
Cauc,cousins,autosomal_29,0.8,0.8,0.8,0.8
Cauc,full_siblings,core_13,1,1,1,1
Cauc,full_siblings,identifiler_15,1,1,1,1
Cauc,full_siblings,expanded_20,1,1,1,1
Cauc,full_siblings,supplementary,1,1,1,1
Cauc,full_siblings,autosomal_29,1,1,1,1
Cauc,half_siblings,core_13,1,1,1,1
Cauc,half_siblings,identifiler_15,1,1,1,1
Cauc,half_siblings,expanded_20,1,1,1,1
Cauc,half_siblings,supplementary,1,1,1,1
