population,loci_set,fixed_cutoff,cutoff_1,cutoff_0_1,cutoff_0_01,n_unrelated
AfAm,core_13,1,1,1,1,5
AfAm,identifiler_15,1,1,1,1,5
AfAm,expanded_20,1,1,1,1,5
AfAm,supplementary,1,1,1,1,5
AfAm,autosomal_29,1,1,1,1,5
all,core_13,1,1,1,1,5
all,identifiler_15,1,1,1,1,5
all,expanded_20,1,1,1,1,5
all,supplementary,1,1,1,1,5
all,autosomal_29,1,1,1,1,5
Asian,core_13,1,1,1,1,5
Asian,identifiler_15,1,1,1,1,5
Asian,expanded_20,1,1,1,1,5
Asian,supplementary,1,1,1,1,5
Asian,autosomal_29,1,1,1,1,5
Cauc,core_13,1,1,1,1,5
Cauc,identifiler_15,1,1,1,1,5
Cauc,expanded_20,1,1,1,1,5
Cauc,supplementary,1,1,1,1,5
Cauc,autosomal_29,1,1,1,1,5
Hispanic,core_13,1,1,1,1,5
Hispanic,identifiler_15,1,1,1,1,5
Hispanic,expanded_20,1,1,1,1,5
Hispanic,supplementary,1,1,1,1,5
Hispanic,autosomal_29,1,1,1,1,5
