population,relationship_type,loci_set,proportion_exceeding_fixed,proportion_exceeding_1,proportion_exceeding_0_1,proportion_exceeding_0_01,n_related
AfAm,cousins,core_13,0.556,0.556,0.556,0.556,500
AfAm,cousins,identifiler_15,0.59,0.59,0.59,0.59,500
AfAm,cousins,expanded_20,0.618,0.618,0.618,0.618,500
AfAm,cousins,supplementary,0.644,0.644,0.644,0.644,500
AfAm,cousins,autosomal_29,0.64,0.64,0.64,0.64,500
AfAm,full_siblings,core_13,0.972,0.972,0.972,0.972,500
AfAm,full_siblings,identifiler_15,0.974,0.974,0.974,0.974,500
AfAm,full_siblings,expanded_20,0.984,0.984,0.984,0.984,500
AfAm,full_siblings,supplementary,0.994,0.994,0.994,0.994,500
AfAm,full_siblings,autosomal_29,0.998,0.998,0.998,0.998,500
AfAm,half_siblings,core_13,0.85,0.85,0.85,0.85,500
AfAm,half_siblings,identifiler_15,0.876,0.876,0.876,0.876,500
AfAm,half_siblings,expanded_20,0.902,0.902,0.902,0.902,500
AfAm,half_siblings,supplementary,0.942,0.942,0.942,0.942,500
AfAm,half_siblings,autosomal_29,0.966,0.966,0.966,0.966,500
AfAm,parent_child,core_13,1,1,1,1,500
AfAm,parent_child,identifiler_15,1,1,1,1,500
AfAm,parent_child,expanded_20,1,1,1,1,500
AfAm,parent_child,supplementary,1,1,1,1,500
AfAm,parent_child,autosomal_29,1,1,1,1,500
AfAm,second_cousins,core_13,0.498,0.498,0.498,0.498,500
AfAm,second_cousins,identifiler_15,0.512,0.512,0.512,0.512,500
AfAm,second_cousins,expanded_20,0.516,0.516,0.516,0.516,500
AfAm,second_cousins,supplementary,0.518,0.518,0.518,0.518,500
AfAm,second_cousins,autosomal_29,0.526,0.526,0.526,0.526,500
all,cousins,core_13,0.584,0.584,0.584,0.584,500
all,cousins,identifiler_15,0.588,0.588,0.588,0.588,500
all,cousins,expanded_20,0.626,0.626,0.626,0.626,500
all,cousins,supplementary,0.636,0.636,0.636,0.636,500
all,cousins,autosomal_29,0.654,0.654,0.654,0.654,500
all,full_siblings,core_13,0.962,0.962,0.962,0.962,500
all,full_siblings,identifiler_15,0.964,0.964,0.964,0.964,500
all,full_siblings,expanded_20,0.984,0.984,0.984,0.984,500
all,full_siblings,supplementary,0.99,0.99,0.99,0.99,500
all,full_siblings,autosomal_29,0.996,0.996,0.996,0.996,500
all,half_siblings,core_13,0.844,0.844,0.844,0.844,500
all,half_siblings,identifiler_15,0.868,0.868,0.868,0.868,500
all,half_siblings,expanded_20,0.92,0.92,0.92,0.92,500
all,half_siblings,supplementary,0.922,0.922,0.922,0.922,500
all,half_siblings,autosomal_29,0.952,0.952,0.952,0.952,500
all,parent_child,core_13,1,1,1,1,500
all,parent_child,identifiler_15,1,1,1,1,500
all,parent_child,expanded_20,1,1,1,1,500
all,parent_child,supplementary,1,1,1,1,500
all,parent_child,autosomal_29,1,1,1,1,500
all,second_cousins,core_13,0.518,0.518,0.518,0.518,500
all,second_cousins,identifiler_15,0.528,0.528,0.528,0.528,500
all,second_cousins,expanded_20,0.546,0.546,0.546,0.546,500
all,second_cousins,supplementary,0.546,0.546,0.546,0.546,500
all,second_cousins,autosomal_29,0.554,0.554,0.554,0.554,500
Asian,cousins,core_13,0.616,0.616,0.616,0.616,500
Asian,cousins,identifiler_15,0.604,0.604,0.604,0.604,500
Asian,cousins,expanded_20,0.598,0.598,0.598,0.598,500
Asian,cousins,supplementary,0.618,0.618,0.618,0.618,500
Asian,cousins,autosomal_29,0.642,0.642,0.642,0.642,500
Asian,full_siblings,core_13,0.936,0.936,0.936,0.936,500
Asian,full_siblings,identifiler_15,0.952,0.952,0.952,0.952,500
Asian,full_siblings,expanded_20,0.984,0.984,0.984,0.984,500
Asian,full_siblings,supplementary,0.984,0.984,0.984,0.984,500
Asian,full_siblings,autosomal_29,0.992,0.992,0.992,0.992,500
Asian,half_siblings,core_13,0.834,0.834,0.834,0.834,500
Asian,half_siblings,identifiler_15,0.844,0.844,0.844,0.844,500
Asian,half_siblings,expanded_20,0.884,0.884,0.884,0.884,500
Asian,half_siblings,supplementary,0.926,0.926,0.926,0.926,500
Asian,half_siblings,autosomal_29,0.928,0.928,0.928,0.928,500
Asian,parent_child,core_13,1,1,1,1,500
Asian,parent_child,identifiler_15,1,1,1,1,500
Asian,parent_child,expanded_20,1,1,1,1,500
Asian,parent_child,supplementary,1,1,1,1,500
Asian,parent_child,autosomal_29,1,1,1,1,500
Asian,second_cousins,core_13,0.51,0.51,0.51,0.51,500
Asian,second_cousins,identifiler_15,0.488,0.488,0.488,0.488,500
Asian,second_cousins,expanded_20,0.496,0.496,0.496,0.496,500
Asian,second_cousins,supplementary,0.522,0.522,0.522,0.522,500
Asian,second_cousins,autosomal_29,0.534,0.534,0.534,0.534,500
Cauc,cousins,core_13,0.554,0.554,0.554,0.554,500
Cauc,cousins,identifiler_15,0.57,0.57,0.57,0.57,500
Cauc,cousins,expanded_20,0.606,0.606,0.606,0.606,500
Cauc,cousins,supplementary,0.63,0.63,0.63,0.63,500
Cauc,cousins,autosomal_29,0.642,0.642,0.642,0.642,500
Cauc,full_siblings,core_13,0.934,0.934,0.934,0.934,500
Cauc,full_siblings,identifiler_15,0.954,0.954,0.954,0.954,500
Cauc,full_siblings,expanded_20,0.976,0.976,0.976,0.976,500
Cauc,full_siblings,supplementary,0.988,0.988,0.988,0.988,500
Cauc,full_siblings,autosomal_29,0.996,0.996,0.996,0.996,500
Cauc,half_siblings,core_13,0.82,0.82,0.82,0.82,500
Cauc,half_siblings,identifiler_15,0.87,0.87,0.87,0.87,500
Cauc,half_siblings,expanded_20,0.894,0.894,0.894,0.894,500
Cauc,half_siblings,supplementary,0.926,0.926,0.926,0.926,500
Cauc,half_siblings,autosomal_29,0.948,0.948,0.948,0.948,500
Cauc,parent_child,core_13,1,1,1,1,500
Cauc,parent_child,identifiler_15,1,1,1,1,500
Cauc,parent_child,expanded_20,1,1,1,1,500
Cauc,parent_child,supplementary,1,1,1,1,500
Cauc,parent_child,autosomal_29,1,1,1,1,500
Cauc,second_cousins,core_13,0.52,0.52,0.52,0.52,500
Cauc,second_cousins,identifiler_15,0.532,0.532,0.532,0.532,500
Cauc,second_cousins,expanded_20,0.52,0.52,0.52,0.52,500
Cauc,second_cousins,supplementary,0.538,0.538,0.538,0.538,500
Cauc,second_cousins,autosomal_29,0.58,0.58,0.58,0.58,500
Hispanic,cousins,core_13,0.562,0.562,0.562,0.562,500
Hispanic,cousins,identifiler_15,0.574,0.574,0.574,0.574,500
Hispanic,cousins,expanded_20,0.6,0.6,0.6,0.6,500
Hispanic,cousins,supplementary,0.596,0.596,0.596,0.596,500
Hispanic,cousins,autosomal_29,0.636,0.636,0.636,0.636,500
Hispanic,full_siblings,core_13,0.96,0.96,0.96,0.96,500
Hispanic,full_siblings,identifiler_15,0.972,0.972,0.972,0.972,500
Hispanic,full_siblings,expanded_20,0.984,0.984,0.984,0.984,500
Hispanic,full_siblings,supplementary,0.996,0.996,0.996,0.996,500
Hispanic,full_siblings,autosomal_29,0.998,0.998,0.998,0.998,500
Hispanic,half_siblings,core_13,0.842,0.842,0.842,0.842,500
Hispanic,half_siblings,identifiler_15,0.86,0.86,0.86,0.86,500
Hispanic,half_siblings,expanded_20,0.89,0.89,0.89,0.89,500
Hispanic,half_siblings,supplementary,0.922,0.922,0.922,0.922,500
Hispanic,half_siblings,autosomal_29,0.936,0.936,0.936,0.936,500
Hispanic,parent_child,core_13,1,1,1,1,500
Hispanic,parent_child,identifiler_15,1,1,1,1,500
Hispanic,parent_child,expanded_20,1,1,1,1,500
Hispanic,parent_child,supplementary,1,1,1,1,500
Hispanic,parent_child,autosomal_29,1,1,1,1,500
Hispanic,second_cousins,core_13,0.482,0.482,0.482,0.482,500
Hispanic,second_cousins,identifiler_15,0.5,0.5,0.5,0.5,500
Hispanic,second_cousins,expanded_20,0.482,0.482,0.482,0.482,500
Hispanic,second_cousins,supplementary,0.512,0.512,0.512,0.512,500
Hispanic,second_cousins,autosomal_29,0.528,0.528,0.528,0.528,500
