"","n_sibs","n_half_sibs","n_first_degree","n_second_degree","n_third_degree"
"1",2,0,12,11,13
"2",0,0,4,2,9
"3",5,0,7,23,19
"4",4,0,6,16,31
"5",1,0,5,14,7
"6",2,0,5,12,9
"7",5,0,10,13,1
"8",4,0,10,11,11
"9",2,0,6,11,17
"10",0,0,5,0,0
"11",3,0,12,18,18
"12",3,0,6,11,0
"13",3,0,7,19,37
"14",1,0,4,11,32
"15",3,0,7,30,51
"16",4,0,6,15,0
"17",1,0,7,6,0
"18",0,0,3,3,4
"19",4,0,14,25,7
"20",4,0,8,14,13
"21",0,0,7,5,6
"22",4,0,6,14,1
"23",0,0,2,2,6
"24",8,0,16,28,20
"25",1,0,4,7,8
"26",2,0,6,9,6
"27",1,0,8,6,9
"28",1,0,3,4,14
"29",0,0,5,4,20
"30",5,0,8,14,15
"31",0,0,5,6,21
"32",0,0,4,5,14
"33",1,0,5,7,12
"34",1,0,4,9,7
"35",1,0,7,7,19
"36",2,0,8,8,12
"37",2,0,5,18,32
"38",1,0,5,10,4
"39",4,0,10,19,7
"40",3,0,11,7,4
"41",0,0,7,0,0
"42",10,0,12,33,10
"43",2,0,5,4,4
"44",0,0,5,3,9
"45",0,0,4,1,6
"46",2,0,7,8,17
"47",3,0,8,21,41
"48",2,0,7,15,28
"49",1,0,4,2,3
"50",4,0,8,15,0
"51",0,0,3,2,3
"52",3,0,5,7,9
"53",5,0,10,19,16
"54",2,0,13,7,0
"55",1,0,4,6,11
"56",2,0,14,2,3
"57",2,0,5,11,20
"58",4,0,8,26,17
"59",0,0,2,5,19
"60",8,0,10,25,21
"61",2,0,6,7,10
"62",0,0,4,8,20
"63",6,0,9,18,2
"64",0,0,10,0,0
"65",3,0,7,13,17
"66",3,0,10,15,10
"67",3,0,13,18,34
"68",12,0,15,32,11
"69",2,0,6,13,15
"70",1,0,4,10,11
"71",3,0,8,8,6
"72",2,0,5,12,0
"73",4,0,11,20,13
"74",3,0,10,8,7
"75",2,0,4,11,13
"76",2,0,4,10,10
"77",5,0,7,19,29
"78",2,0,4,2,8
"79",0,0,8,12,30
"80",2,0,7,17,16
"81",4,0,8,4,1
"82",3,0,9,8,12
"83",1,0,9,10,33
"84",0,0,5,3,5
"85",5,0,7,12,14
"86",1,0,8,4,6
"87",2,0,5,3,5
"88",0,0,3,4,7
"89",2,0,6,16,12
"90",5,0,7,19,4
"91",0,0,3,4,11
"92",2,0,7,15,16
"93",0,0,5,10,34
"94",8,0,13,26,0
"95",3,0,6,21,5
"96",2,0,4,17,33
"97",0,0,3,5,15
"98",2,0,8,7,2
"99",1,0,4,6,17
"100",4,0,9,14,13
"101",3,0,9,9,4
"102",3,0,5,3,9
"103",3,0,7,13,11
"104",0,0,8,4,11
"105",4,0,8,26,7
"106",7,0,10,15,8
"107",2,0,7,17,21
"108",1,0,4,11,23
"109",1,0,19,4,6
"110",5,0,7,17,4
"111",3,0,5,11,10
"112",1,0,8,9,17
"113",5,0,8,12,13
"114",1,0,5,3,3
"115",5,0,17,16,11
"116",1,0,7,2,1
"117",2,0,14,5,3
"118",7,0,15,17,31
"119",6,0,12,26,19
"120",5,0,12,16,24
"121",0,0,6,6,24
"122",2,0,4,15,5
"123",1,0,6,19,27
"124",0,0,6,7,19
"125",4,0,6,17,5
"126",1,0,4,4,13
"127",0,0,5,2,4
"128",1,0,7,10,27
"129",4,0,10,18,27
"130",0,0,5,4,13
"131",1,0,9,5,19
"132",6,0,9,11,7
"133",2,0,9,10,13
"134",7,0,9,20,2
"135",1,0,6,9,13
"136",1,0,8,10,18
"137",2,0,8,9,11
"138",3,0,5,12,14
"139",4,0,9,14,3
"140",1,0,9,2,0
"141",9,0,16,25,34
"142",1,0,3,6,15
"143",0,0,9,1,2
"144",1,0,8,16,24
"145",8,0,10,14,16
"146",7,0,13,17,16
"147",0,0,2,7,27
"148",2,0,7,4,12
"149",1,0,9,5,12
"150",0,0,7,3,10
"151",1,0,9,6,13
"152",0,0,5,5,20
"153",8,0,12,42,23
"154",6,0,8,24,11
"155",5,0,7,17,12
"156",4,0,9,19,1
"157",0,0,4,3,3
"158",2,0,10,9,1
"159",2,0,4,5,7
"160",0,0,2,2,1
"161",1,0,9,8,21
"162",9,0,17,45,18
"163",5,0,9,11,2
"164",1,0,8,6,3
"165",1,0,12,4,4
"166",0,0,3,4,5
"167",1,0,4,7,33
"168",1,0,5,5,5
"169",1,0,4,6,0
"170",0,0,9,8,28
"171",4,0,6,13,22
"172",0,0,2,3,12
"173",5,0,9,27,35
"174",0,0,2,4,2
"175",13,0,18,38,8
"176",2,0,8,12,13
"177",1,0,5,8,8
"178",0,0,11,2,2
"179",5,0,10,20,0
"180",2,0,7,4,6
"181",6,0,9,36,19
"182",6,0,12,36,19
"183",1,0,4,14,32
"184",1,0,7,7,19
"185",3,0,8,10,3
"186",6,0,16,21,10
"187",0,0,4,1,2
"188",3,0,8,11,11
"189",2,0,4,11,0
"190",4,0,11,16,0
"191",4,0,12,12,17
"192",8,0,10,38,5
"193",1,0,5,3,0
"194",4,0,11,14,23
"195",0,0,6,8,30
"196",1,0,8,20,18
"197",2,0,5,15,39
"198",2,0,8,3,8
"199",0,0,2,0,0
"200",4,0,9,11,13
"201",2,0,7,1,0
"202",2,0,9,12,10
"203",0,0,4,8,19
"204",2,0,6,11,17
"205",0,0,2,2,7
"206",4,0,15,16,0
"207",6,0,12,26,5
"208",3,0,8,23,6
"209",5,0,7,13,11
"210",1,0,5,8,4
"211",7,0,11,18,0
"212",2,0,6,3,4
"213",1,0,3,12,24
"214",0,0,9,6,12
"215",0,0,3,6,14
"216",9,0,19,25,15
"217",1,0,4,2,4
"218",2,0,6,7,0
"219",2,0,16,19,29
"220",2,0,10,7,15
"221",3,0,9,10,15
"222",2,0,10,8,4
"223",0,0,4,1,1
"224",13,0,15,38,3
"225",0,0,6,1,2
"226",1,0,6,14,62
"227",4,0,9,7,4
"228",4,0,7,20,20
"229",2,0,4,14,18
"230",1,0,5,5,10
"231",4,0,6,16,15
"232",3,0,7,14,0
"233",1,0,8,5,1
"234",3,0,15,10,16
"235",8,0,11,39,18
"236",1,0,9,7,0
"237",4,0,8,19,5
"238",2,0,6,6,8
"239",1,0,3,8,7
"240",5,0,14,20,13
"241",1,0,5,6,11
"242",2,0,7,13,5
"243",2,0,4,21,22
"244",1,0,6,9,5
"245",1,0,4,10,2
"246",2,0,4,15,21
"247",2,0,10,11,21
"248",0,0,6,0,0
"249",4,0,8,12,5
"250",0,0,3,2,7
"251",2,0,12,8,7
"252",4,0,17,9,0
"253",7,0,9,27,14
"254",4,0,9,18,3
"255",1,0,9,4,2
"256",3,0,11,9,0
"257",0,0,3,2,2
"258",4,0,19,8,16
"259",2,0,7,9,5
"260",3,0,7,7,8
"261",2,0,5,7,12
"262",1,0,10,15,26
"263",4,0,6,14,22
"264",3,0,12,8,13
"265",0,0,6,0,0
"266",6,0,9,24,5
"267",4,0,6,7,18
"268",1,0,5,10,19
"269",2,0,7,6,13
"270",2,0,4,10,13
"271",4,0,15,23,52
"272",1,0,8,5,14
"273",8,0,12,36,5
"274",8,0,16,34,4
"275",2,0,11,7,3
"276",5,0,10,27,29
"277",2,0,4,14,23
"278",0,0,3,3,9
"279",0,0,5,4,9
"280",2,0,9,14,26
"281",7,0,12,16,22
"282",0,0,3,5,13
"283",5,0,9,24,5
"284",5,0,11,14,13
"285",1,0,3,17,27
"286",1,0,8,2,4
"287",0,0,4,1,6
"288",2,0,9,12,15
"289",3,0,7,17,12
"290",0,0,2,4,9
"291",6,0,14,24,12
"292",3,0,11,15,25
"293",4,0,13,14,7
"294",5,0,11,14,8
"295",0,0,4,3,8
"296",1,0,5,13,28
"297",2,0,7,5,4
