population,relationship_type,sim_id,loci_set,LR
AfAm,parent_child,1,core_13,3934.48734302621
AfAm,parent_child,2,core_13,605268.001222821
AfAm,parent_child,3,core_13,2597.94814289724
AfAm,parent_child,4,core_13,511.038516822321
AfAm,parent_child,5,core_13,4482.94731082989
AfAm,full_siblings,1,core_13,105.034948775989
AfAm,full_siblings,2,core_13,140.601003489118
AfAm,full_siblings,3,core_13,1004.60291934528
AfAm,full_siblings,4,core_13,7138.08356431761
AfAm,full_siblings,5,core_13,4527.85826014548
AfAm,half_siblings,1,core_13,16.4926356973505
AfAm,half_siblings,2,core_13,16.4609216355255
AfAm,half_siblings,3,core_13,0.765085077163931
AfAm,half_siblings,4,core_13,17.8751053698469
AfAm,half_siblings,5,core_13,0.900900476777007
AfAm,cousins,1,core_13,0.995408479477888
AfAm,cousins,2,core_13,1.84346659847334
AfAm,cousins,3,core_13,0.491170317428976
AfAm,cousins,4,core_13,0.751527688823131
AfAm,cousins,5,core_13,1.20410817903377
AfAm,second_cousins,1,core_13,1.20400271779283
AfAm,second_cousins,2,core_13,3.81368051415813
AfAm,second_cousins,3,core_13,1.12029615276457
AfAm,second_cousins,4,core_13,0.805871122000167
AfAm,second_cousins,5,core_13,0.936228637698791
AfAm,unrelated,1,core_13,1
AfAm,unrelated,2,core_13,1
AfAm,unrelated,3,core_13,1
AfAm,unrelated,4,core_13,1
AfAm,unrelated,5,core_13,1
AfAm,unrelated,6,core_13,1
AfAm,unrelated,7,core_13,1
AfAm,unrelated,8,core_13,1
AfAm,unrelated,9,core_13,1
AfAm,unrelated,10,core_13,1
Cauc,parent_child,1,core_13,358.719135342725
Cauc,parent_child,2,core_13,98541.4372518238
Cauc,parent_child,3,core_13,1697.34610889964
Cauc,parent_child,4,core_13,1093.76653313482
Cauc,parent_child,5,core_13,891295.532428011
Cauc,full_siblings,1,core_13,9.16993806793728
Cauc,full_siblings,2,core_13,5.48761169155498
Cauc,full_siblings,3,core_13,24.0530245058264
Cauc,full_siblings,4,core_13,32594.8901603513
Cauc,full_siblings,5,core_13,757.151025663727
Cauc,half_siblings,1,core_13,287.188901023656
Cauc,half_siblings,2,core_13,0.778307258740747
Cauc,half_siblings,3,core_13,6.67788535150367
Cauc,half_siblings,4,core_13,5.89152406101122
Cauc,half_siblings,5,core_13,2.07983137315748
Cauc,cousins,1,core_13,6.1582751708708
Cauc,cousins,2,core_13,1.2577368919326
Cauc,cousins,3,core_13,0.801510746536933
Cauc,cousins,4,core_13,1.15154590140607
Cauc,cousins,5,core_13,0.644779131450625
Cauc,second_cousins,1,core_13,0.907614264217214
Cauc,second_cousins,2,core_13,0.723599877680357
Cauc,second_cousins,3,core_13,1.42069243878818
Cauc,second_cousins,4,core_13,0.915147513043306
Cauc,second_cousins,5,core_13,1.12190349317209
Cauc,unrelated,1,core_13,1
Cauc,unrelated,2,core_13,1
Cauc,unrelated,3,core_13,1
Cauc,unrelated,4,core_13,1
Cauc,unrelated,5,core_13,1
Cauc,unrelated,6,core_13,1
Cauc,unrelated,7,core_13,1
Cauc,unrelated,8,core_13,1
Cauc,unrelated,9,core_13,1
Cauc,unrelated,10,core_13,1
Hispanic,parent_child,1,core_13,75.5881977392452
Hispanic,parent_child,2,core_13,355.2239884785
Hispanic,parent_child,3,core_13,16877036.5173294
Hispanic,parent_child,4,core_13,3231.36032351645
Hispanic,parent_child,5,core_13,327.355248981811
Hispanic,full_siblings,1,core_13,116.061169921213
Hispanic,full_siblings,2,core_13,284.376584835445
Hispanic,full_siblings,3,core_13,857812.182386366
Hispanic,full_siblings,4,core_13,66.0415276078401
Hispanic,full_siblings,5,core_13,2658.28591794227
Hispanic,half_siblings,1,core_13,5408.60449185601
Hispanic,half_siblings,2,core_13,2.24981108388717
Hispanic,half_siblings,3,core_13,61.9346642686895
Hispanic,half_siblings,4,core_13,5.51207157050093
Hispanic,half_siblings,5,core_13,3.63696936649214
Hispanic,cousins,1,core_13,1.25624935353342
Hispanic,cousins,2,core_13,1.91515259840672
Hispanic,cousins,3,core_13,0.615121806127797
Hispanic,cousins,4,core_13,0.777140324601915
Hispanic,cousins,5,core_13,0.71404958352937
Hispanic,second_cousins,1,core_13,0.790630294105098
Hispanic,second_cousins,2,core_13,1.18809480938192
Hispanic,second_cousins,3,core_13,0.615726125947923
Hispanic,second_cousins,4,core_13,2.00382037169372
Hispanic,second_cousins,5,core_13,1.03537293923148
Hispanic,unrelated,1,core_13,1
Hispanic,unrelated,2,core_13,1
Hispanic,unrelated,3,core_13,1
Hispanic,unrelated,4,core_13,1
Hispanic,unrelated,5,core_13,1
Hispanic,unrelated,6,core_13,1
Hispanic,unrelated,7,core_13,1
Hispanic,unrelated,8,core_13,1
Hispanic,unrelated,9,core_13,1
Hispanic,unrelated,10,core_13,1
Asian,parent_child,1,core_13,10297.0844126033
Asian,parent_child,2,core_13,8362.67350786047
Asian,parent_child,3,core_13,320.068261836004
Asian,parent_child,4,core_13,476.870667666264
Asian,parent_child,5,core_13,1551.25870560444
Asian,full_siblings,1,core_13,16.6650217751754
Asian,full_siblings,2,core_13,10917.0374582791
Asian,full_siblings,3,core_13,1169.62421957264
Asian,full_siblings,4,core_13,3.53728162798087
Asian,full_siblings,5,core_13,135437.952115035
Asian,half_siblings,1,core_13,1.29077761487318
Asian,half_siblings,2,core_13,0.865914392032563
Asian,half_siblings,3,core_13,13.6332345661749
Asian,half_siblings,4,core_13,0.340034901062819
Asian,half_siblings,5,core_13,0.0820256676370082
Asian,cousins,1,core_13,0.758935528231482
Asian,cousins,2,core_13,1.52151216118475
Asian,cousins,3,core_13,0.751130288158976
Asian,cousins,4,core_13,0.913671464343809
Asian,cousins,5,core_13,0.853366726782916
Asian,second_cousins,1,core_13,0.66128626501415
Asian,second_cousins,2,core_13,0.890051869905415
Asian,second_cousins,3,core_13,1.10290987965337
Asian,second_cousins,4,core_13,1.10873180802072
Asian,second_cousins,5,core_13,0.86272466063436
Asian,unrelated,1,core_13,1
Asian,unrelated,2,core_13,1
Asian,unrelated,3,core_13,1
Asian,unrelated,4,core_13,1
Asian,unrelated,5,core_13,1
Asian,unrelated,6,core_13,1
Asian,unrelated,7,core_13,1
Asian,unrelated,8,core_13,1
Asian,unrelated,9,core_13,1
Asian,unrelated,10,core_13,1
AfAm,parent_child,1,identifiler_15,29855.9102553493
AfAm,parent_child,2,identifiler_15,6071575.1711
AfAm,parent_child,3,identifiler_15,25486.9373091754
AfAm,parent_child,4,identifiler_15,3117.07911355893
AfAm,parent_child,5,identifiler_15,43959.0416887916
AfAm,full_siblings,1,identifiler_15,153.144706563562
AfAm,full_siblings,2,identifiler_15,93.4452091851095
AfAm,full_siblings,3,identifiler_15,1232.65043503733
AfAm,full_siblings,4,identifiler_15,2406679.301238
AfAm,full_siblings,5,identifiler_15,4883808.14845088
AfAm,half_siblings,1,identifiler_15,52.9009069537659
AfAm,half_siblings,2,identifiler_15,11.6819443865019
AfAm,half_siblings,3,identifiler_15,2.66177997904939
AfAm,half_siblings,4,identifiler_15,47.9449963913239
AfAm,half_siblings,5,identifiler_15,1.12088780250162
AfAm,cousins,1,identifiler_15,0.762109617100258
AfAm,cousins,2,identifiler_15,2.54064911376306
AfAm,cousins,3,identifiler_15,0.578933348713798
AfAm,cousins,4,identifiler_15,0.742720723719735
AfAm,cousins,5,identifiler_15,1.07828828141989
AfAm,second_cousins,1,identifiler_15,1.0582055136851
AfAm,second_cousins,2,identifiler_15,3.35186763939679
AfAm,second_cousins,3,identifiler_15,0.984635290515739
AfAm,second_cousins,4,identifiler_15,0.928766765080105
AfAm,second_cousins,5,identifiler_15,0.878693939748691
AfAm,unrelated,1,identifiler_15,1
AfAm,unrelated,2,identifiler_15,1
AfAm,unrelated,3,identifiler_15,1
AfAm,unrelated,4,identifiler_15,1
AfAm,unrelated,5,identifiler_15,1
AfAm,unrelated,6,identifiler_15,1
AfAm,unrelated,7,identifiler_15,1
AfAm,unrelated,8,identifiler_15,1
AfAm,unrelated,9,identifiler_15,1
AfAm,unrelated,10,identifiler_15,1
Cauc,parent_child,1,identifiler_15,792.537829942684
Cauc,parent_child,2,identifiler_15,38680779.0484785
Cauc,parent_child,3,identifiler_15,25625.5609659302
Cauc,parent_child,4,identifiler_15,2416.51829865837
Cauc,parent_child,5,identifiler_15,6596109.40375118
Cauc,full_siblings,1,identifiler_15,2.40406562179329
Cauc,full_siblings,2,identifiler_15,7.40835951279804
Cauc,full_siblings,3,identifiler_15,1220.09040757957
Cauc,full_siblings,4,identifiler_15,15053.5029225074
Cauc,full_siblings,5,identifiler_15,272.101149847902
Cauc,half_siblings,1,identifiler_15,702.34473797838
Cauc,half_siblings,2,identifiler_15,4.73741669624005
Cauc,half_siblings,3,identifiler_15,4.33619325368656
Cauc,half_siblings,4,identifiler_15,1.4728810152528
Cauc,half_siblings,5,identifiler_15,7.28409411094566
Cauc,cousins,1,identifiler_15,5.3756784662845
Cauc,cousins,2,identifiler_15,1.05809073718168
Cauc,cousins,3,identifiler_15,0.795536842804662
Cauc,cousins,4,identifiler_15,0.881652330764023
Cauc,cousins,5,identifiler_15,0.794670654361739
Cauc,second_cousins,1,identifiler_15,0.83448595076814
Cauc,second_cousins,2,identifiler_15,0.694619494648259
Cauc,second_cousins,3,identifiler_15,1.24865546377867
Cauc,second_cousins,4,identifiler_15,1.12151238050527
Cauc,second_cousins,5,identifiler_15,0.98604799204578
Cauc,unrelated,1,identifiler_15,1
Cauc,unrelated,2,identifiler_15,1
Cauc,unrelated,3,identifiler_15,1
Cauc,unrelated,4,identifiler_15,1
Cauc,unrelated,5,identifiler_15,1
Cauc,unrelated,6,identifiler_15,1
Cauc,unrelated,7,identifiler_15,1
Cauc,unrelated,8,identifiler_15,1
Cauc,unrelated,9,identifiler_15,1
Cauc,unrelated,10,identifiler_15,1
Hispanic,parent_child,1,identifiler_15,69.2564364888627
Hispanic,parent_child,2,identifiler_15,779.410465738203
Hispanic,parent_child,3,identifiler_15,23452680.286157
Hispanic,parent_child,4,identifiler_15,20130.5124430506
Hispanic,parent_child,5,identifiler_15,18757.590480752
Hispanic,full_siblings,1,identifiler_15,520.338164153169
Hispanic,full_siblings,2,identifiler_15,3922.05552472169
Hispanic,full_siblings,3,identifiler_15,3327081.09645708
Hispanic,full_siblings,4,identifiler_15,1068.0338442149
Hispanic,full_siblings,5,identifiler_15,2284.40159822576
Hispanic,half_siblings,1,identifiler_15,30765.1972357541
Hispanic,half_siblings,2,identifiler_15,1.35729620779421
Hispanic,half_siblings,3,identifiler_15,352.049670579919
Hispanic,half_siblings,4,identifiler_15,7.63744903876721
Hispanic,half_siblings,5,identifiler_15,3.26727742539266
Hispanic,cousins,1,identifiler_15,1.20747452067843
Hispanic,cousins,2,identifiler_15,5.77175351414009
Hispanic,cousins,3,identifiler_15,0.622170076823011
Hispanic,cousins,4,identifiler_15,0.655057745540668
Hispanic,cousins,5,identifiler_15,0.883709849002127
Hispanic,second_cousins,1,identifiler_15,0.760356580794609
Hispanic,second_cousins,2,identifiler_15,1.39003369186264
Hispanic,second_cousins,3,identifiler_15,0.631997025123399
Hispanic,second_cousins,4,identifiler_15,2.2889622214604
Hispanic,second_cousins,5,identifiler_15,0.909995747371421
Hispanic,unrelated,1,identifiler_15,1
Hispanic,unrelated,2,identifiler_15,1
Hispanic,unrelated,3,identifiler_15,1
Hispanic,unrelated,4,identifiler_15,1
Hispanic,unrelated,5,identifiler_15,1
Hispanic,unrelated,6,identifiler_15,1
Hispanic,unrelated,7,identifiler_15,1
Hispanic,unrelated,8,identifiler_15,1
Hispanic,unrelated,9,identifiler_15,1
Hispanic,unrelated,10,identifiler_15,1
Asian,parent_child,1,identifiler_15,87509.2736344887
Asian,parent_child,2,identifiler_15,339156.875152842
Asian,parent_child,3,identifiler_15,370.877127538788
Asian,parent_child,4,identifiler_15,657.899723177694
Asian,parent_child,5,identifiler_15,16815.4299090232
Asian,full_siblings,1,identifiler_15,555.208555976574
Asian,full_siblings,2,identifiler_15,7837762.92161221
Asian,full_siblings,3,identifiler_15,21974.3870464168
Asian,full_siblings,4,identifiler_15,11.5439185929155
Asian,full_siblings,5,identifiler_15,3028879.97500418
Asian,half_siblings,1,identifiler_15,61.3156246425187
Asian,half_siblings,2,identifiler_15,0.636447078143934
Asian,half_siblings,3,identifiler_15,23.6954912147324
Asian,half_siblings,4,identifiler_15,22.9156958089694
Asian,half_siblings,5,identifiler_15,0.352689864422226
Asian,cousins,1,identifiler_15,0.779239331820233
Asian,cousins,2,identifiler_15,1.31165586736225
Asian,cousins,3,identifiler_15,0.575084126871716
Asian,cousins,4,identifiler_15,0.855876217985367
Asian,cousins,5,identifiler_15,0.83443265253242
Asian,second_cousins,1,identifiler_15,0.756088710158596
Asian,second_cousins,2,identifiler_15,0.782272151284056
Asian,second_cousins,3,identifiler_15,0.969354386414096
Asian,second_cousins,4,identifiler_15,1.08608239287169
Asian,second_cousins,5,identifiler_15,0.80052458323612
Asian,unrelated,1,identifiler_15,1
Asian,unrelated,2,identifiler_15,1
Asian,unrelated,3,identifiler_15,1
Asian,unrelated,4,identifiler_15,1
Asian,unrelated,5,identifiler_15,1
Asian,unrelated,6,identifiler_15,1
Asian,unrelated,7,identifiler_15,1
Asian,unrelated,8,identifiler_15,1
Asian,unrelated,9,identifiler_15,1
Asian,unrelated,10,identifiler_15,1
AfAm,parent_child,1,expanded_20,421772.571625585
AfAm,parent_child,2,expanded_20,165203340.073134
AfAm,parent_child,3,expanded_20,16065990.0017427
AfAm,parent_child,4,expanded_20,952884.608870283
AfAm,parent_child,5,expanded_20,442043.463816866
AfAm,full_siblings,1,expanded_20,371.565248587087
AfAm,full_siblings,2,expanded_20,347.996066806283
AfAm,full_siblings,3,expanded_20,8625.0338507105
AfAm,full_siblings,4,expanded_20,16124291.8780481
AfAm,full_siblings,5,expanded_20,488137577.957085
AfAm,half_siblings,1,expanded_20,87.8041541519002
AfAm,half_siblings,2,expanded_20,2.74544875257486
AfAm,half_siblings,3,expanded_20,11.5399278045603
AfAm,half_siblings,4,expanded_20,143.880559291745
AfAm,half_siblings,5,expanded_20,1.60699747172606
AfAm,cousins,1,expanded_20,0.979275816312562
AfAm,cousins,2,expanded_20,4.45049576378121
AfAm,cousins,3,expanded_20,0.571698472512609
AfAm,cousins,4,expanded_20,0.829406055178958
AfAm,cousins,5,expanded_20,1.27093732889346
AfAm,second_cousins,1,expanded_20,0.97501477792247
AfAm,second_cousins,2,expanded_20,3.23725609400199
AfAm,second_cousins,3,expanded_20,0.956783616942902
AfAm,second_cousins,4,expanded_20,0.729407721560923
AfAm,second_cousins,5,expanded_20,1.34071567507387
AfAm,unrelated,1,expanded_20,1
AfAm,unrelated,2,expanded_20,1
AfAm,unrelated,3,expanded_20,1
AfAm,unrelated,4,expanded_20,1
AfAm,unrelated,5,expanded_20,1
AfAm,unrelated,6,expanded_20,1
AfAm,unrelated,7,expanded_20,1
AfAm,unrelated,8,expanded_20,1
AfAm,unrelated,9,expanded_20,1
AfAm,unrelated,10,expanded_20,1
Cauc,parent_child,1,expanded_20,54594.0113427837
Cauc,parent_child,2,expanded_20,884082877.00693
Cauc,parent_child,3,expanded_20,708601.034637447
Cauc,parent_child,4,expanded_20,220457.287809877
Cauc,parent_child,5,expanded_20,508029860.539077
Cauc,full_siblings,1,expanded_20,257.724680011913
Cauc,full_siblings,2,expanded_20,5344.39937097477
Cauc,full_siblings,3,expanded_20,195848.775719452
Cauc,full_siblings,4,expanded_20,4907534.8366206
Cauc,full_siblings,5,expanded_20,9175.6483719154
