population,loci_set,fixed_cutoff,cutoff_1,cutoff_0_1,cutoff_0_01,n_unrelated
AfAm,core_13,1,1,1,1,500
AfAm,identifiler_15,1,1,1,1,500
AfAm,expanded_20,1,1,1,1,500
AfAm,supplementary,1,1,1,1,500
AfAm,autosomal_29,1,1,1,1,500
Asian,core_13,1,1,1,1,500
Asian,identifiler_15,1,1,1,1,500
Asian,expanded_20,1,1,1,1,500
Asian,supplementary,1,1,1,1,500
Asian,autosomal_29,1,1,1,1,500
Cauc,core_13,1,1,1,1,500
Cauc,identifiler_15,1,1,1,1,500
Cauc,expanded_20,1,1,1,1,500
Cauc,supplementary,1,1,1,1,500
Cauc,autosomal_29,1,1,1,1,500
Hispanic,core_13,1,1,1,1,500
Hispanic,identifiler_15,1,1,1,1,500
Hispanic,expanded_20,1,1,1,1,500
Hispanic,supplementary,1,1,1,1,500
Hispanic,autosomal_29,1,1,1,1,500
