allele,marker,frequency,population
2.2,CSF1PO,0,Hispanic
2.2,D10S1248,0,Hispanic
2.2,D12S391,0,Hispanic
2.2,D13S317,0,Hispanic
2.2,D16S539,0,Hispanic
2.2,D18S51,0,Hispanic
2.2,D19S433,0,Hispanic
2.2,D1S1656,0,Hispanic
2.2,D21S11,0,Hispanic
2.2,D22S1045,0,Hispanic
2.2,D2S1338,0,Hispanic
2.2,D2S441,0,Hispanic
2.2,D3S1358,0,Hispanic
2.2,D5S818,0,Hispanic
2.2,D6S1043,0,Hispanic
2.2,D7S820,0,Hispanic
2.2,D8S1179,0,Hispanic
2.2,F13A01,0,Hispanic
2.2,F13B,0,Hispanic
2.2,FESFPS,0,Hispanic
2.2,FGA,0,Hispanic
2.2,LPL,0,Hispanic
2.2,Penta_C,0,Hispanic
2.2,Penta_D,0.0170212765957447,Hispanic
2.2,Penta_E,0,Hispanic
2.2,SE33,0,Hispanic
2.2,TH01,0,Hispanic
2.2,TPOX,0,Hispanic
2.2,vWA,0,Hispanic
3.2,CSF1PO,0,Hispanic
3.2,D10S1248,0,Hispanic
3.2,D12S391,0,Hispanic
3.2,D13S317,0,Hispanic
3.2,D16S539,0,Hispanic
3.2,D18S51,0,Hispanic
3.2,D19S433,0,Hispanic
3.2,D1S1656,0,Hispanic
3.2,D21S11,0,Hispanic
3.2,D22S1045,0,Hispanic
3.2,D2S1338,0,Hispanic
3.2,D2S441,0,Hispanic
3.2,D3S1358,0,Hispanic
3.2,D5S818,0,Hispanic
3.2,D6S1043,0,Hispanic
3.2,D7S820,0,Hispanic
3.2,D8S1179,0,Hispanic
3.2,F13A01,0.213983050847458,Hispanic
3.2,F13B,0,Hispanic
3.2,FESFPS,0,Hispanic
3.2,FGA,0,Hispanic
3.2,LPL,0,Hispanic
3.2,Penta_C,0,Hispanic
3.2,Penta_D,0.00212765957446809,Hispanic
3.2,Penta_E,0,Hispanic
3.2,SE33,0,Hispanic
3.2,TH01,0,Hispanic
3.2,TPOX,0,Hispanic
3.2,vWA,0,Hispanic
4,CSF1PO,0,Hispanic
4,D10S1248,0,Hispanic
4,D12S391,0,Hispanic
4,D13S317,0,Hispanic
4,D16S539,0,Hispanic
4,D18S51,0,Hispanic
4,D19S433,0,Hispanic
4,D1S1656,0,Hispanic
4,D21S11,0,Hispanic
4,D22S1045,0,Hispanic
4,D2S1338,0,Hispanic
4,D2S441,0,Hispanic
4,D3S1358,0,Hispanic
4,D5S818,0,Hispanic
4,D6S1043,0,Hispanic
4,D7S820,0,Hispanic
4,D8S1179,0,Hispanic
4,F13A01,0.0826271186440678,Hispanic
4,F13B,0,Hispanic
4,FESFPS,0,Hispanic
4,FGA,0,Hispanic
4,LPL,0,Hispanic
4,Penta_C,0,Hispanic
4,Penta_D,0,Hispanic
4,Penta_E,0,Hispanic
4,SE33,0,Hispanic
4,TH01,0,Hispanic
4,TPOX,0,Hispanic
4,vWA,0,Hispanic
4.2,CSF1PO,0,Hispanic
4.2,D10S1248,0,Hispanic
4.2,D12S391,0,Hispanic
4.2,D13S317,0,Hispanic
4.2,D16S539,0,Hispanic
4.2,D18S51,0,Hispanic
4.2,D19S433,0,Hispanic
4.2,D1S1656,0,Hispanic
4.2,D21S11,0,Hispanic
4.2,D22S1045,0,Hispanic
4.2,D2S1338,0,Hispanic
4.2,D2S441,0,Hispanic
4.2,D3S1358,0,Hispanic
4.2,D5S818,0,Hispanic
4.2,D6S1043,0,Hispanic
4.2,D7S820,0,Hispanic
4.2,D8S1179,0,Hispanic
4.2,F13A01,0,Hispanic
4.2,F13B,0,Hispanic
4.2,FESFPS,0,Hispanic
4.2,FGA,0,Hispanic
4.2,LPL,0,Hispanic
4.2,Penta_C,0,Hispanic
4.2,Penta_D,0,Hispanic
4.2,Penta_E,0,Hispanic
4.2,SE33,0,Hispanic
4.2,TH01,0,Hispanic
4.2,TPOX,0,Hispanic
4.2,vWA,0,Hispanic
5,CSF1PO,0,Hispanic
5,D10S1248,0,Hispanic
5,D12S391,0,Hispanic
5,D13S317,0,Hispanic
5,D16S539,0,Hispanic
5,D18S51,0,Hispanic
5,D19S433,0,Hispanic
5,D1S1656,0,Hispanic
5,D21S11,0,Hispanic
5,D22S1045,0,Hispanic
5,D2S1338,0,Hispanic
5,D2S441,0,Hispanic
5,D3S1358,0,Hispanic
5,D5S818,0,Hispanic
5,D6S1043,0,Hispanic
5,D7S820,0,Hispanic
5,D8S1179,0,Hispanic
5,F13A01,0.194915254237288,Hispanic
5,F13B,0,Hispanic
5,FESFPS,0,Hispanic
5,FGA,0,Hispanic
5,LPL,0,Hispanic
5,Penta_C,0.0169491525423729,Hispanic
5,Penta_D,0.00638297872340426,Hispanic
5,Penta_E,0.0360169491525424,Hispanic
5,SE33,0,Hispanic
5,TH01,0,Hispanic
5,TPOX,0,Hispanic
5,vWA,0,Hispanic
6,CSF1PO,0,Hispanic
6,D10S1248,0,Hispanic
6,D12S391,0,Hispanic
6,D13S317,0,Hispanic
6,D16S539,0,Hispanic
6,D18S51,0,Hispanic
6,D19S433,0,Hispanic
6,D1S1656,0,Hispanic
6,D21S11,0,Hispanic
6,D22S1045,0,Hispanic
6,D2S1338,0,Hispanic
6,D2S441,0,Hispanic
6,D3S1358,0,Hispanic
6,D5S818,0,Hispanic
6,D6S1043,0,Hispanic
6,D7S820,0,Hispanic
6,D8S1179,0,Hispanic
6,F13A01,0.167372881355932,Hispanic
6,F13B,0.120762711864407,Hispanic
6,FESFPS,0,Hispanic
6,FGA,0,Hispanic
6,LPL,0,Hispanic
6,Penta_C,0,Hispanic
6,Penta_D,0.00212765957446809,Hispanic
6,Penta_E,0,Hispanic
6,SE33,0,Hispanic
6,TH01,0.239406779661017,Hispanic
6,TPOX,0.00847457627118644,Hispanic
6,vWA,0,Hispanic
6.3,CSF1PO,0,Hispanic
6.3,D10S1248,0,Hispanic
6.3,D12S391,0,Hispanic
6.3,D13S317,0,Hispanic
