allele,marker,frequency,population
2.2,CSF1PO,0,Cauc
2.2,D10S1248,0,Cauc
2.2,D12S391,0,Cauc
2.2,D13S317,0,Cauc
2.2,D16S539,0,Cauc
2.2,D18S51,0,Cauc
2.2,D19S433,0,Cauc
2.2,D1S1656,0,Cauc
2.2,D21S11,0,Cauc
2.2,D22S1045,0,Cauc
2.2,D2S1338,0,Cauc
2.2,D2S441,0,Cauc
2.2,D3S1358,0,Cauc
2.2,D5S818,0,Cauc
2.2,D6S1043,0,Cauc
2.2,D7S820,0,Cauc
2.2,D8S1179,0,Cauc
2.2,F13A01,0,Cauc
2.2,F13B,0,Cauc
2.2,FESFPS,0,Cauc
2.2,FGA,0,Cauc
2.2,LPL,0,Cauc
2.2,Penta_C,0,Cauc
2.2,Penta_D,0.00415512465373961,Cauc
2.2,Penta_E,0,Cauc
2.2,SE33,0,Cauc
2.2,TH01,0,Cauc
2.2,TPOX,0,Cauc
2.2,vWA,0,Cauc
3.2,CSF1PO,0,Cauc
3.2,D10S1248,0,Cauc
3.2,D12S391,0,Cauc
3.2,D13S317,0,Cauc
3.2,D16S539,0,Cauc
3.2,D18S51,0,Cauc
3.2,D19S433,0,Cauc
3.2,D1S1656,0,Cauc
3.2,D21S11,0,Cauc
3.2,D22S1045,0,Cauc
3.2,D2S1338,0,Cauc
3.2,D2S441,0,Cauc
3.2,D3S1358,0,Cauc
3.2,D5S818,0,Cauc
3.2,D6S1043,0,Cauc
3.2,D7S820,0,Cauc
3.2,D8S1179,0,Cauc
3.2,F13A01,0.0637119113573407,Cauc
3.2,F13B,0,Cauc
3.2,FESFPS,0,Cauc
3.2,FGA,0,Cauc
3.2,LPL,0,Cauc
3.2,Penta_C,0,Cauc
3.2,Penta_D,0,Cauc
3.2,Penta_E,0,Cauc
3.2,SE33,0,Cauc
3.2,TH01,0,Cauc
3.2,TPOX,0,Cauc
3.2,vWA,0,Cauc
4,CSF1PO,0,Cauc
4,D10S1248,0,Cauc
4,D12S391,0,Cauc
4,D13S317,0,Cauc
4,D16S539,0,Cauc
4,D18S51,0,Cauc
4,D19S433,0,Cauc
4,D1S1656,0,Cauc
4,D21S11,0,Cauc
4,D22S1045,0,Cauc
4,D2S1338,0,Cauc
4,D2S441,0,Cauc
4,D3S1358,0,Cauc
4,D5S818,0,Cauc
4,D6S1043,0,Cauc
4,D7S820,0,Cauc
4,D8S1179,0,Cauc
4,F13A01,0.0263157894736842,Cauc
4,F13B,0,Cauc
4,FESFPS,0,Cauc
4,FGA,0,Cauc
4,LPL,0,Cauc
4,Penta_C,0,Cauc
4,Penta_D,0,Cauc
4,Penta_E,0,Cauc
4,SE33,0,Cauc
4,TH01,0,Cauc
4,TPOX,0,Cauc
4,vWA,0,Cauc
4.2,CSF1PO,0,Cauc
4.2,D10S1248,0,Cauc
4.2,D12S391,0,Cauc
4.2,D13S317,0,Cauc
4.2,D16S539,0,Cauc
4.2,D18S51,0,Cauc
4.2,D19S433,0,Cauc
4.2,D1S1656,0,Cauc
4.2,D21S11,0,Cauc
4.2,D22S1045,0,Cauc
4.2,D2S1338,0,Cauc
4.2,D2S441,0,Cauc
4.2,D3S1358,0,Cauc
4.2,D5S818,0,Cauc
4.2,D6S1043,0,Cauc
4.2,D7S820,0,Cauc
4.2,D8S1179,0,Cauc
4.2,F13A01,0,Cauc
4.2,F13B,0,Cauc
4.2,FESFPS,0,Cauc
4.2,FGA,0,Cauc
4.2,LPL,0,Cauc
4.2,Penta_C,0,Cauc
4.2,Penta_D,0,Cauc
4.2,Penta_E,0,Cauc
4.2,SE33,0,Cauc
4.2,TH01,0,Cauc
4.2,TPOX,0,Cauc
4.2,vWA,0,Cauc
5,CSF1PO,0,Cauc
5,D10S1248,0,Cauc
5,D12S391,0,Cauc
5,D13S317,0,Cauc
5,D16S539,0,Cauc
5,D18S51,0,Cauc
5,D19S433,0,Cauc
5,D1S1656,0,Cauc
5,D21S11,0,Cauc
5,D22S1045,0,Cauc
5,D2S1338,0,Cauc
5,D2S441,0,Cauc
5,D3S1358,0,Cauc
5,D5S818,0,Cauc
5,D6S1043,0,Cauc
5,D7S820,0,Cauc
5,D8S1179,0,Cauc
5,F13A01,0.193905817174515,Cauc
5,F13B,0,Cauc
5,FESFPS,0.00138504155124654,Cauc
5,FGA,0,Cauc
5,LPL,0,Cauc
5,Penta_C,0.00831024930747923,Cauc
5,Penta_D,0,Cauc
5,Penta_E,0.0761772853185596,Cauc
5,SE33,0,Cauc
5,TH01,0.00138504155124654,Cauc
5,TPOX,0.00138504155124654,Cauc
5,vWA,0,Cauc
6,CSF1PO,0,Cauc
6,D10S1248,0,Cauc
6,D12S391,0,Cauc
6,D13S317,0,Cauc
6,D16S539,0,Cauc
6,D18S51,0,Cauc
6,D19S433,0,Cauc
6,D1S1656,0,Cauc
6,D21S11,0,Cauc
6,D22S1045,0,Cauc
6,D2S1338,0,Cauc
6,D2S441,0,Cauc
6,D3S1358,0,Cauc
6,D5S818,0,Cauc
6,D6S1043,0,Cauc
6,D7S820,0,Cauc
6,D8S1179,0,Cauc
6,F13A01,0.349030470914127,Cauc
6,F13B,0.0955678670360111,Cauc
6,FESFPS,0,Cauc
6,FGA,0,Cauc
6,LPL,0,Cauc
6,Penta_C,0,Cauc
6,Penta_D,0.00415512465373961,Cauc
6,Penta_E,0,Cauc
6,SE33,0,Cauc
6,TH01,0.235457063711911,Cauc
6,TPOX,0.00138504155124654,Cauc
6,vWA,0,Cauc
6.3,CSF1PO,0,Cauc
6.3,D10S1248,0,Cauc
6.3,D12S391,0,Cauc
6.3,D13S317,0,Cauc
6.3,D16S539,0,Cauc
6.3,D18S51,0,Cauc
6.3,D19S433,0,Cauc
6.3,D1S1656,0,Cauc
6.3,D21S11,0,Cauc
6.3,D22S1045,0,Cauc
6.3,D2S1338,0,Cauc
6.3,D2S441,0,Cauc
6.3,D3S1358,0,Cauc
6.3,D5S818,0,Cauc
6.3,D6S1043,0,Cauc
6.3,D7S820,0,Cauc
6.3,D8S1179,0,Cauc
6.3,F13A01,0,Cauc
6.3,F13B,0,Cauc
6.3,FESFPS,0,Cauc
6.3,FGA,0,Cauc
6.3,LPL,0,Cauc
6.3,Penta_C,0,Cauc
6.3,Penta_D,0,Cauc
6.3,Penta_E,0,Cauc
6.3,SE33,0,Cauc
6.3,TH01,0,Cauc
6.3,TPOX,0,Cauc
6.3,vWA,0,Cauc
7,CSF1PO,0,Cauc
7,D10S1248,0,Cauc
7,D12S391,0,Cauc
7,D13S317,0,Cauc
7,D16S539,0,Cauc
7,D18S51,0,Cauc
7,D19S433,0,Cauc
7,D1S1656,0,Cauc
7,D21S11,0,Cauc
7,D22S1045,0,Cauc
7,D2S1338,0,Cauc
7,D2S441,0,Cauc
7,D3S1358,0,Cauc
7,D5S818,0.00277008310249308,Cauc
7,D6S1043,0,Cauc
7,D7S820,0.0277008310249307,Cauc
7,D8S1179,0,Cauc
7,F13A01,0.315789473684211,Cauc
7,F13B,0.0166204986149585,Cauc
7,FESFPS,0,Cauc
7,FGA,0,Cauc
7,LPL,0.00138504155124654,Cauc
7,Penta_C,0.00277008310249308,Cauc
7,Penta_D,0.00415512465373961,Cauc
7,Penta_E,0.168975069252078,Cauc
7,SE33,0,Cauc
7,TH01,0.193905817174515,Cauc
7,TPOX,0,Cauc
7,vWA,0,Cauc
8,CSF1PO,0.00554016620498615,Cauc
8,D10S1248,0,Cauc
8,D12S391,0,Cauc
8,D13S317,0.120498614958449,Cauc
8,D16S539,0.018005540166205,Cauc
8,D18S51,0,Cauc
8,D19S433,0,Cauc
8,D1S1656,0,Cauc
8,D21S11,0,Cauc
8,D22S1045,0,Cauc
8,D2S1338,0,Cauc
8,D2S441,0,Cauc
8,D3S1358,0,Cauc
8,D5S818,0.00554016620498615,Cauc
8,D6S1043,0.00138504155124654,Cauc
8,D7S820,0.14404432132964,Cauc
8,D8S1179,0.0138504155124654,Cauc
8,F13A01,0.00415512465373961,Cauc
8,F13B,0.246537396121884,Cauc
8,FESFPS,0.0249307479224377,Cauc
8,FGA,0,Cauc
8,LPL,0,Cauc
8,Penta_C,0.00554016620498615,Cauc
8,Penta_D,0.0207756232686981,Cauc
8,Penta_E,0.0138504155124654,Cauc
8,SE33,0,Cauc
8,TH01,0.0955678670360111,Cauc
8,TPOX,0.524930747922438,Cauc
8,vWA,0,Cauc
8.1,CSF1PO,0,Cauc
8.1,D10S1248,0,Cauc
8.1,D12S391,0,Cauc
8.1,D13S317,0,Cauc
8.1,D16S539,0,Cauc
8.1,D18S51,0,Cauc
8.1,D19S433,0,Cauc
8.1,D1S1656,0,Cauc
8.1,D21S11,0,Cauc
8.1,D22S1045,0,Cauc
8.1,D2S1338,0,Cauc
8.1,D2S441,0,Cauc
8.1,D3S1358,0,Cauc
8.1,D5S818,0,Cauc
8.1,D6S1043,0,Cauc
8.1,D7S820,0.00138504155124654,Cauc
